Sr / La,Co / Fe,Composition String,Total Energy (O24),Formation Energy (O24),Total Energy (O23),Formation Energy (O23),Vacancy Formation Energy,hull_energy,e_above_hull,is_on_hull
0.625,0.625,La3Sr5Fe3Co5O24,-295.673,-85.316,-289.812,-84.42,-0.896,-295.74342857142835,-0.07042857142835146,False
0.625,1.0,La3Sr5Fe0Co8O24,-291.329,-82.256,-284.306,-80.198,-2.058,-291.3289999999999,-0.0,True
0.25,0.125,La6Sr2Fe7Co1O24,-304.883,-97.39,-297.931,-95.404,-1.986,-304.883,-0.0,True
0.875,0.375,La1Sr7Fe5Co3O24,-294.388,-80.124,-290.641,-81.342,1.218,-294.82693750000004,-0.4389375000000655,False
0.25,0.875,La6Sr2Fe1Co7O24,-298.135,-93.211,-288.832,-88.873,-4.338,-298.1999999999998,-0.0649999999998272,False
0.5,1.0,La4Sr4Fe0Co8O24,-293.134,-85.586,-287.67,-85.088,-0.498,-293.13400000000007,-0.0,True
0.125,0.5,La7Sr1Fe4Co4O24,-303.5,-98.817,-294.668,-94.95,-3.866,-303.5,-0.0,True
1.0,0.625,La0Sr8Fe3Co5O24,-290.19,-75.256,-285.74,-75.772,0.516,-290.3375,-0.14749999999997954,False
0.0,0.375,La8Sr0Fe5Co3O24,-305.967,-102.382,-296.604,-97.984,-4.398,-305.976,-0.009000000000014552,False
0.125,1.0,La7Sr1Fe0Co8O24,-298.257,-95.286,-293.044,-95.038,-0.247,-298.4583333333331,-0.201333333333082,False
0.5,0.25,La4Sr4Fe6Co2O24,-300.422,-90.306,-295.322,-90.172,-0.135,-300.76193749999993,-0.3399374999999054,False
0.0,1.0,La8Sr0Fe0Co8O24,-300.228,-98.783,-294.675,-98.195,-0.588,-300.228,-0.0,True
0.875,0.25,La1Sr7Fe6Co2O24,-295.561,-80.869,-292.711,-82.984,2.116,-295.855625,-0.29462499999999636,False
0.0,0.75,La8Sr0Fe2Co6O24,-302.869,-100.567,-292.034,-94.697,-5.87,-302.869,-0.0,True
0.5,0.0,La4Sr4Fe8Co0O24,-302.409,-91.437,-298.201,-92.195,0.758,-302.5492,-0.140199999999993,False
1.0,0.0,La0Sr8Fe8Co0O24,-296.024,-78.95,-294.704,-82.595,3.645,-296.024,-0.0,True
