Sr / La,Co / Fe,Composition String,Total Energy (O24),Formation Energy (O24),Total Energy (O23),Formation Energy (O23),Vacancy Formation Energy,hull_energy,e_above_hull,is_on_hull
0.75,0.875,La2Sr6Fe1Co7O24,-291.025,-79.998,-284.67,-78.609,-1.389,-291.1383333333333,-0.11333333333334394,False
0.75,0.125,La2Sr6Fe7Co1O24,-298.338,-84.743,-295.297,-86.667,1.924,-298.5452500000001,-0.2072500000001014,False
0.5,0.5,La4Sr4Fe4Co4O24,-298.294,-89.035,-291.729,-87.434,-1.6,-298.73519999999996,-0.4411999999999807,False
0.125,0.0,La7Sr1Fe8Co0O24,-307.069,-100.673,-299.609,-98.179,-2.494,-307.071,-0.0020000000000095497,False
0.875,0.125,La1Sr7Fe7Co1O24,-296.706,-81.586,-294.306,-84.152,2.566,-296.8843125,-0.1783125000000041,False
0.0,0.625,La8Sr0Fe3Co5O24,-304.003,-101.273,-293.734,-95.97,-5.303,-304.003,-0.0,True
0.625,0.25,La3Sr5Fe6Co2O24,-298.898,-87.257,-291.994,-85.318,-1.939,-299.1775,-0.27949999999998454,False
0.375,0.875,La5Sr3Fe1Co7O24,-296.311,-89.861,-290.632,-89.147,-0.713,-296.4510000000001,-0.14000000000010004,False
0.75,1.0,La2Sr6Fe0Co8O24,-289.524,-78.925,-283.11,-77.477,-1.448,-289.5239999999999,-0.0,True
0.5,0.75,La4Sr4Fe2Co6O24,-296.172,-87.768,-290.458,-87.019,-0.749,-296.1720000000001,-0.0,True
0.75,0.0,La2Sr6Fe8Co0O24,-299.056,-85.033,-297.025,-87.967,2.934,-299.45840000000004,-0.40240000000005693,False
0.125,0.875,La7Sr1Fe1Co7O24,-299.846,-96.447,-289.721,-91.287,-5.16,-299.90700000000004,-0.06100000000003547,False
0.5,0.375,La4Sr4Fe5Co3O24,-299.398,-89.71,-293.533,-88.811,-0.9,-299.80975,-0.41174999999998363,False
0.75,0.25,La2Sr6Fe6Co2O24,-297.094,-83.928,-293.6,-85.399,1.471,-297.51656249999985,-0.42256249999985585,False
1.0,1.0,La0Sr8Fe0Co8O24,-285.849,-72.199,-280.485,-71.801,-0.398,-285.849,-0.0,True
0.0,0.875,La8Sr0Fe1Co7O24,-301.614,-99.741,-290.686,-93.778,-5.963,-301.614,-0.0,True
