Sr / La,Co / Fe,Composition String,Total Energy (O24),Formation Energy (O24),Total Energy (O23),Formation Energy (O23),Vacancy Formation Energy,hull_energy,e_above_hull,is_on_hull
0.75,0.5,La2Sr6Fe4Co4O24,-295.033,-82.722,-290.458,-83.112,0.39,-295.3148571428571,-0.28185714285706354,False
0.625,0.125,La3Sr5Fe7Co1O24,-299.843,-87.773,-296.087,-88.983,1.209,-300.12968750000005,-0.28668750000002774,False
1.0,0.875,La0Sr8Fe1Co7O24,-287.509,-73.432,-282.176,-73.064,-0.368,-287.5089999999999,-0.0,True
0.125,0.75,La7Sr1Fe2Co6O24,-301.069,-97.242,-291.815,-92.953,-4.289,-301.24449999999985,-0.17549999999982901,False
0.375,0.0,La5Sr3Fe8Co0O24,-303.826,-94.379,-298.846,-94.365,-0.015,-304.0946,-0.2685999999999922,False
0.5,0.625,La4Sr4Fe3Co5O24,-297.231,-88.4,-290.152,-86.286,-2.114,-297.4637142857143,-0.23271428571428032,False
0.25,1.0,La6Sr2Fe0Co8O24,-296.576,-92.079,-287.545,-88.014,-4.065,-296.6886666666667,-0.11266666666665515,False
0.625,0.375,La3Sr5Fe5Co3O24,-297.619,-86.406,-292.81,-86.562,0.156,-298.14881250000013,-0.529812500000105,False
0.25,0.75,La6Sr2Fe2Co6O24,-299.495,-94.142,-290.332,-89.944,-4.198,-299.5536666666667,-0.05866666666668152,False
0.5,0.875,La4Sr4Fe1Co7O24,-294.684,-86.709,-286.723,-83.713,-2.996,-294.70199999999994,-0.017999999999915417,False
1.0,0.75,La0Sr8Fe2Co6O24,-288.912,-74.406,-283.838,-74.298,-0.108,-288.92324999999994,-0.011249999999961346,False
0.75,0.375,La2Sr6Fe5Co3O24,-296.16,-83.421,-291.8,-84.027,0.606,-296.48787500000003,-0.3278750000000059,False
0.125,0.25,La7Sr1Fe6Co2O24,-305.418,-99.879,-297.338,-96.764,-3.115,-305.4308,-0.012799999999970169,False
0.375,0.625,La5Sr3Fe3Co5O24,-299.184,-91.877,-292.81,-90.47,-1.408,-299.1840000000001,-0.0,True
1.0,0.5,La0Sr8Fe4Co4O24,-291.198,-75.837,-287.67,-77.274,1.437,-291.75175000000075,-0.5537500000007753,False
0.75,0.625,La2Sr6Fe3Co5O24,-293.61,-81.728,-288.511,-81.594,-0.134,-293.96400000000006,-0.35400000000004184,False
