,Nr,xNi,T,t,Ms,cfrac,mipd
0,4.0,0.532688799216412,699.4651811942458,-3081.317582353949,306.48584097305616,0.4206024166626879,9.165737138088591e-09
1,41.0,0.5205932271666825,735.606968998909,-2543.668232113123,292.94082367871385,0.2217384536354449,2.230844346635049e-08
2,46.0,0.5152133540390059,676.5375705808401,-3128.040697798133,318.3104798691765,0.1763033312747647,6.033630942070313e-09
3,57.0,0.5185812747757882,752.9315859079361,-2879.3869134038687,246.28713640373013,0.1339757888001521,4.3337628212856046e-08
4,82.0,0.5093212379561737,687.2296818345785,-1865.038750693202,280.2920425605195,0.0289329286059959,9.190514175203612e-09
5,13.0,0.5108924639690667,713.1662635877728,-2433.4430672228336,298.94478093615004,0.0827185798666322,1.42238802368505e-08
6,22.0,0.5200788295594976,684.2871428653598,-3375.7377851754427,330.1075644509203,0.2627143286385491,6.669043514517732e-09
7,91.0,0.5311179325357079,725.0805154442787,-3410.659345239401,317.4456138495429,0.4084614153025534,1.710475623636106e-08
8,97.0,0.5117661595251412,723.1376974657178,-2021.870757266879,280.7716251260723,0.0678833098650374,1.7962785149821902e-08
9,102.0,0.5170979581633582,658.5459020361304,-3224.99021217227,278.07199623063667,0.1474942767415453,4.7838408727178e-09
10,14.0,0.5162330785254017,702.5448340177536,-1497.9042135179045,254.2107457224197,0.1038791731015488,9.848690621255011e-09
11,50.0,0.5103557549091056,706.8445811420679,-3289.088164642453,317.6870931356197,0.104161288037779,1.2519200973996681e-08
12,66.0,0.5073093190928921,666.1037953943014,-3554.0935032069683,299.10267707071444,0.0286889955789135,7.1693334590678715e-09
13,76.0,0.5250036651315168,681.4660697430372,-3153.1150572001934,314.5462972019924,0.3153069997583181,6.410270262386182e-09
14,109.0,0.5088068637344987,732.9281595721841,-2706.18022531271,276.0336463442403,0.0142263831346081,3.628698493102725e-08
15,1.0,0.5135359021555632,729.7717968001962,-3188.504495099187,316.2464097714557,0.148687866147883,2.0174655426673137e-08
16,19.0,0.5236964785400778,714.9470956996083,-2836.021279916168,323.5279728306388,0.3068740533596852,1.2497178885506447e-08
17,25.0,0.5174695449881256,718.9413817971945,-1690.4178611934185,268.15437596514846,0.1403616483387651,1.3884700547824718e-08
18,62.0,0.513029752173461,690.1577921956778,-2338.964480906725,303.7982367996039,0.122498795008529,7.852952607167769e-09
19,87.0,0.5340909967757762,715.9852801263332,-2661.252972856164,227.0799708430728,0.3766847198032652,1.4153570101832616e-08
20,104.0,0.5349684349773451,704.0257912501693,-3513.091003149748,323.8228174148543,0.4708248234978985,1.0232141692019486e-08
21,73.0,0.5215837994776666,710.2494199573994,-3060.0173458457,331.05320669508563,0.2854783990479544,1.109856422309526e-08
22,78.0,0.5157122874958441,656.8956086784601,-2517.8341034799814,225.80982909516163,0.0688928376049252,5.445084487217523e-09
23,99.0,0.5263144053146244,748.2391715422273,-3107.179270684719,221.47222239724337,0.2434715866314076,3.79322552943988e-08
24,134.0,0.5192203764524311,704.4804547354579,-3015.4110934585333,331.0187966793057,0.2515548996972258,9.763957836216792e-09
25,17.0,0.5143391559459269,743.3261576667428,-2174.3731319904327,253.14873714469064,0.0719166307471274,3.1823395269993635e-08
26,44.0,0.5228190169529989,704.858955219388,-1986.5097373723984,273.5896510947625,0.2318885520435857,9.946056447616477e-09
27,94.0,0.5122946119913832,696.6468403488398,-2856.910474598408,319.231822941753,0.1349157855728697,9.073056490888724e-09
28,100.0,0.5320087623363361,694.8506770655513,-2564.996886625886,217.4586347090429,0.3369753816947176,8.987946345890538e-09
29,158.0,0.5118154413439333,686.1023464798927,-1081.277833878994,237.4461549408938,0.0140744333791365,9.839333587728389e-09
30,118.0,0.5221204838110134,709.5564034208655,-2214.326415583492,299.8752441792372,0.2540510751634138,1.0936179416715238e-08
31,148.0,0.5292846427578479,689.657613299787,-3564.6859992295504,328.3017155458971,0.393019228699889,7.480137799156961e-09
32,162.0,0.5065972491353751,682.0369756966829,-2918.218031153083,296.1341634636388,0.012873329644407,1.1126113618829992e-08
33,167.0,0.5368154576653615,713.722375035286,-3461.4535946398973,314.3877352609353,0.4893716544827964,1.2963950767302292e-08
34,203.0,0.5306577768223361,723.6948388814926,-2994.0844640135765,299.13202260119294,0.3824145495055248,1.6385036742371077e-08
35,214.0,0.5205662412103266,698.5789044573903,-1684.044124558568,238.4745893223794,0.159649726735177,9.083701567819086e-09
36,220.0,0.525543479770422,709.1730984300375,-2789.2212823033333,319.8514312067076,0.3294549843005857,1.0975759802068878e-08
37,242.0,0.5105794933438301,691.1390879750252,-1549.0992922335863,269.3263146433921,0.0322671669680281,9.39544700640488e-09
38,253.0,0.5079923533415422,716.5425348654389,-3235.256823152304,292.55277918652627,0.0281839606396533,2.180037663025569e-08
39,115.0,0.52410460379906,738.4273577108979,-2318.103704228997,226.2454301723038,0.2094246116396224,2.558090549751326e-08
40,172.0,0.5228826262522489,667.4061165004969,-2967.211690172553,261.7054131745655,0.2195020565790646,5.411812608549959e-09
41,210.0,0.5096643160004168,664.6596270054579,-3077.751226723194,294.3303181268172,0.0566624780920683,5.891099460482036e-09
42,217.0,0.517869236418046,738.8665400445461,-3599.637385457754,322.51635878222817,0.2208987650336589,2.4997882859296868e-08
43,222.0,0.5123135839682073,674.2159724980593,-2101.205859705806,274.98457544355455,0.0679008209097498,6.376510665017406e-09
44,248.0,0.5382325103040785,686.7337372526526,-3145.6781700253487,162.50470587199334,0.4252618397877253,8.44187060823793e-09
45,126.0,0.5139117725519463,670.1673932373524,-1798.0659026652577,238.0150151366973,0.0492739105255736,6.515471922975063e-09
46,185.0,0.5186831685015932,715.5006912350655,-2060.2998554706573,297.46105556006364,0.1987233452765776,1.2569846481202182e-08
47,206.0,0.5159295161254704,694.3548489362001,-3336.8215911090374,332.51530287618203,0.2064068362358383,8.101166293272735e-09
48,131.0,0.5270044965809212,736.0468368604779,-3372.184206917882,308.9755557729438,0.338451982868461,2.35336502362773e-08
49,145.0,0.5144904936803505,720.8742058649659,-2768.362342938781,318.3934334769228,0.1658312928807564,1.5105121921577492e-08
50,174.0,0.5150194536708296,699.0856545418501,-1802.801701426506,283.4422545652528,0.1225425747359337,9.015875042999632e-09
51,225.0,0.5114381876820698,745.7068081572652,-2946.32515758276,265.9605021263874,0.0412307015134756,4.21357717399658e-08
52,171.0,0.5283929621102289,730.2145285904408,-2609.6030451357365,258.9692093206385,0.3055465402498579,1.9785555702945052e-08
53,178.0,0.5100333017949015,669.4219601899385,-2582.623750716448,287.77810436696404,0.0518321215082435,6.295792447660596e-09
