Unnamed: 0,Nr,xNi,T,t,Ms,cfrac,mipd
14505,8957.0,0.5150928477523848,727.3499946296215,-2012.34719529748,283.6530210342459,0.1239879118216938,1.7934862804667222e-08
14506,8959.0,0.5228068943321705,748.3034794032574,-3096.2207704782486,267.03386482592896,0.2241267982833157,3.601492583434098e-08
14507,896.0,0.5229970313515514,707.941712141037,-2502.994641289115,313.8976246592303,0.2849084690764535,1.0569325804044094e-08
14508,8960.0,0.5227180960727855,698.0229323729873,-2664.035741239786,318.2140871985084,0.2861479572381026,8.566199486465316e-09
14509,8962.0,0.5150072380527854,658.802416883409,-3350.6157964468,291.61952825926835,0.1342767946141332,4.784372756116137e-09
14510,8965.0,0.5171883822185919,723.7097638100386,-1820.515693724156,275.0393142962686,0.1448374041826572,1.573577717781407e-08
14511,8976.0,0.5267828923463822,679.1867553442717,-2773.6689794808626,265.2876125575778,0.2857847892077724,6.390601828921433e-09
14512,8978.0,0.513402692633681,685.1388239115477,-2109.830194339156,289.4444595325245,0.1063743664194714,7.1587548400962395e-09
14513,898.0,0.515239167031832,657.1159434318542,-3189.1635674983263,278.3840707454973,0.1187663070049026,4.7833247777638464e-09
14514,8981.0,0.5212095765024424,742.3701524361968,-3504.702652618289,313.8476764808984,0.2584524707054701,2.830346480099404e-08
14515,8987.0,0.5390103689394892,720.0485663861036,-3161.962896957993,256.15061276027063,0.4749600551162755,1.575029341711507e-08
14516,8990.0,0.5107399590127171,701.6255288943648,-3105.9429701417685,317.8890331697186,0.1101079866462103,1.0789486476644082e-08
14517,8993.0,0.5099551304476335,726.333526596427,-2194.3659894168377,276.0942589344706,0.0323941529205517,2.33805835815618e-08
14518,8994.0,0.5162264900980518,695.6815705448389,-1592.0422229915855,258.1656401835087,0.1082783827339191,8.583813186256807e-09
14519,90.0,0.518866971861571,672.6728115975857,-2697.945736348629,289.5778986375836,0.1907089420728702,5.620617492281329e-09
14520,9000.0,0.5297852012980729,708.7144299596548,-3302.63974070549,327.6737027582823,0.3995825750689987,1.1078860742453552e-08
14521,9005.0,0.5129227184969932,712.8351536020637,-3021.5991608798504,323.0518595149292,0.1497293258049009,1.2797319740985413e-08
14522,901.0,0.5172527407761663,710.3924321010709,-1996.5213809162376,297.17810298189335,0.176592551849735,1.1204270926278912e-08
14523,9018.0,0.5176573521737009,688.3303793892264,-2723.056687787175,319.04030437675027,0.2131080254663286,7.1809007306346635e-09
14524,9023.0,0.5232955841813237,729.937954172492,-3567.016027495265,330.0248565116858,0.3088031301754905,1.8855274158791805e-08
14525,9025.0,0.5095993845816702,721.6235402971506,-3437.55409643054,303.75163625172576,0.0708790376567666,2.0395550896780527e-08
14526,9034.0,0.5202460868749768,674.3164632469416,-2947.3087437450886,303.6679097149781,0.2307578164775378,5.708274361545418e-09
14527,9037.0,0.5126083429390564,738.1691099330783,-2681.0754530131817,282.8816751749228,0.0841949862959754,2.81141366132112e-08
14528,9039.0,0.5259883443359286,744.0680349990726,-3340.84243029356,284.0638434375508,0.2938891928225153,3.126242363454459e-08
14529,9050.0,0.5186858835676685,700.5393357202411,-2388.55443187058,314.18101183459686,0.2216369996995456,8.994407824215268e-09
14530,9055.0,0.5243845390388743,717.7865616232157,-2107.534370943904,272.21713715781203,0.2550627132667846,1.3526724540037658e-08
14531,9056.0,0.5251391441375017,693.3129451796412,-2995.793131738901,322.3636670179807,0.326473243061907,7.87906968767653e-09
14532,9058.0,0.5160633628396317,669.136375002563,-1887.7766579389568,213.66812842571093,0.0662790787048346,6.381742840210186e-09
14533,9061.0,0.519680840075016,728.3601272851229,-3277.252484858036,328.12524036154946,0.254474389953852,1.7762224986707465e-08
14534,9070.0,0.5074321240745485,655.6379646807909,-2881.5119236707687,288.0117007040898,0.0120473748921503,6.9218937092337766e-09
14535,9074.0,0.5116024144366383,702.914187386632,-3578.1228002160788,328.4169403629797,0.138519834679983,1.06433117393365e-08
14536,9079.0,0.5286447715386748,715.4776350781322,-2734.582180157304,303.84036453766896,0.3571771499794917,1.2989393294846312e-08
14537,9085.0,0.515432118945755,721.0638534650207,-1259.969374537468,221.40040714848263,0.0609325358721658,1.6036015568270014e-08
14538,9086.0,0.5089916944643482,689.4741354510188,-2540.259402617812,296.37265058789706,0.0497204218644258,9.378930717093128e-09
14539,9090.0,0.5152476845122874,708.5111116990447,-2495.123417302966,317.7892985921813,0.1760636773376961,1.0942371896929883e-08
14540,9102.0,0.5069599565071985,691.2624304741621,-3540.01034013927,301.3664317724185,0.0272073092492127,1.242600637528784e-08
14541,9106.0,0.5140396872675046,667.2923582047224,-2828.431423008442,293.254193237882,0.121876455098177,5.401996878699559e-09
14542,9109.0,0.5216715526394546,730.2075057849288,-2335.440722107888,288.5093591588907,0.2325116772177467,1.8848452192710623e-08
14543,9117.0,0.515834983093664,741.6910622641444,-1558.009798452258,193.69188079650803,0.0509923837821295,3.0521372767698576e-08
14544,9120.0,0.5245737691782415,708.0444959551096,-1760.0717782974243,186.7917674950869,0.1973263207333038,1.1613973692953884e-08
14545,9121.0,0.510417717457749,746.0019525140524,-2744.026466086507,260.6535836097641,0.0176960881521095,4.995120744045243e-08
14546,9130.0,0.5223149360017851,698.6948003619909,-3245.232424512505,332.7377470418092,0.297979566319793,8.676866979759133e-09
14547,9135.0,0.5277787546860054,723.4407278522849,-3076.259258016944,316.98053290771537,0.3589446891469261,1.5997936139216256e-08
14548,9138.0,0.5124465248920024,690.9288753196597,-1213.776870444417,241.09223637685147,0.028063467980116,9.485104675156617e-09
14549,914.0,0.5140305263083428,690.838826186955,-2172.911012917757,298.6742025282519,0.1298627208536918,7.793385257633395e-09
14550,9144.0,0.5316301932604983,685.3417422994971,-2893.174932897091,251.6623353748696,0.3518454601153012,7.290058658966686e-09
14551,9146.0,0.5182061943318695,679.9137845262885,-2229.4537357985973,278.31427868154015,0.1652060655380691,6.3252677216410306e-09
14552,9149.0,0.5145933078648522,732.5750359147787,-3399.201685935259,320.7419132319004,0.1707104337518166,2.1326131835743623e-08
14553,9151.0,0.5238015056308359,742.16314278543,-2285.913062095642,174.75876107684604,0.179536787608942,2.9979304532675864e-08
14554,9160.0,0.5289477207185701,669.3363181501627,-3115.338520333171,156.38354575359915,0.262819093536245,6.325453728704611e-09
14555,9162.0,0.5198277995642275,694.0434078127146,-2007.21990801394,281.6040425552868,0.1949205844352176,7.966935368285067e-09
14556,9165.0,0.5120162367494777,748.462235443294,-3171.8185264617205,266.6323694648541,0.0513859405530632,4.4913049775915504e-08
14557,9167.0,0.5253520417120308,728.1496841832995,-2513.2536079734564,286.4336176483571,0.2868089085182455,1.808458021536652e-08
14558,917.0,0.5216697326349095,751.673669219017,-3455.2963726222515,277.91112800336015,0.2190304241676129,4.111558111253807e-08
14559,9170.0,0.5128215399151668,701.2198045477271,-874.1734821349382,216.48513779034403,0.0135616941797664,1.2840078915948876e-08
14560,9172.0,0.5360191959748045,690.1460043340921,-3361.867891252041,294.6255849862012,0.4594587121086362,7.763579159621384e-09
14561,9178.0,0.518575545703061,652.7037955448031,-3472.559230774641,252.9823928673887,0.140611496321206,4.688140512011133e-09
14562,9181.0,0.5163882644753903,714.7986433655024,-2162.185234576464,304.819704600515,0.1744268555304801,1.2526533099764158e-08
