,Nr,xNi,T,t,Ms,cfrac,mipd
0,15.0,0.5159096099436283,730.8230965584517,-2310.51421277225,294.4447693348141,0.1522139861806333,1.961636670922184e-08
1,6.0,0.5342926671262831,698.2362952828407,-3047.863210737705,292.8893676903267,0.4314196082488484,9.026551577267285e-09
2,29.0,0.529204203938134,719.2308164015412,-2225.31715258956,202.24965012287663,0.2826767973518996,1.5263362609270943e-08
3,31.0,0.5137570774042979,752.258573397994,-3030.8823198080063,257.2147364088032,0.0672360207825204,4.723506138691946e-08
4,43.0,0.5102561591658741,714.2783104628325,-2586.9931798428297,298.3987917633885,0.0722042359627251,1.5350505993825088e-08
5,16.0,0.5148753174999728,673.3376843854785,-1605.7373810559511,214.7515864126363,0.0469604055587038,7.005737804968534e-09
6,20.0,0.5112004974437878,691.8251560255885,-3189.5304266363382,320.8018138268011,0.121296451088629,8.58850313523283e-09
7,26.0,0.527423781673424,667.8331357985735,-3464.6798964589834,270.60129228205886,0.3014851698984137,5.4141182435780975e-09
8,34.0,0.5287929376028478,681.7209205031395,-2855.116371810436,265.7964695575443,0.3184351602665976,6.6802287380741345e-09
9,55.0,0.5178061219444499,744.5935498178005,-2153.923809528351,238.162149726883,0.1137738626690456,3.1255182173386515e-08
10,8.0,0.5169872617628426,662.1109058335423,-2869.827101379633,271.0433806642065,0.1363940627415872,5.0605052328063e-09
11,24.0,0.5204580893879757,702.3184143379331,-2697.8980902582407,323.88160448269264,0.2602994237396211,9.319201069940248e-09
12,32.0,0.5133018882200122,654.797901622951,-1838.610137254,207.99724504163737,0.016010980493207,6.8450683505348125e-09
13,63.0,0.5122508172178641,721.0615759342909,-1193.379257619381,241.7943080766601,0.0255456911923429,1.8144978378757983e-08
14,39.0,0.5199602426867932,739.77718308568,-3302.976743504405,314.88784887241684,0.241373937070494,2.5692509295591628e-08
15,53.0,0.5248157474724576,710.1668670400977,-2933.120112866164,325.68576126143574,0.3256352334810338,1.1197003403610065e-08
16,64.0,0.5126296237111092,669.4223621860147,-3350.1618929207325,312.3459291272386,0.1294936413066316,5.6542716582153124e-09
17,48.0,0.5167743898788467,708.3423547074199,-3395.477381721139,334.41698991415063,0.2210140934874306,1.0730456075308856e-08
18,71.0,0.5221431474294513,723.5154131799936,-1889.9739604443312,254.0420959850661,0.1996641500744715,1.5752965691458264e-08
19,85.0,0.5227375454409048,726.4215420559049,-2645.0074665248394,309.5792290561378,0.2756694493713694,1.691996023949473e-08
20,75.0,0.5095236958283931,729.8998978734016,-3086.056200787425,286.51960196059457,0.0419487180208504,2.7575487139241705e-08
21,100.0,0.5068579813931138,655.6902012601495,-3564.881656318903,295.02851152518724,0.0149781260964013,6.830876424695651e-09
22,106.0,0.5233284539822489,703.9405997097492,-3279.172410070896,333.38768224435444,0.3132273559381915,9.699435839244426e-09
23,89.0,0.5356041890894995,720.1633916422725,-3164.1160301864147,287.5305805593585,0.4465108844439312,1.5270925400290123e-08
24,111.0,0.5152870970591903,717.1472331881523,-2823.5187124460936,323.3410703065264,0.1844974836933739,1.3478477196178265e-08
25,116.0,0.5090984566090628,707.3804825916886,-2000.9724263101816,282.75683469737623,0.0293491028777982,1.4500584798538829e-08
26,80.0,0.5146063439035788,694.6004593744874,-2221.1029026657343,304.04492923018563,0.1465536062738485,8.27160033359474e-09
27,120.0,0.5211097116163,686.0052600130439,-2972.270852699876,321.8849269523653,0.2672389049927077,6.867003102625185e-09
28,104.0,0.5191313180606812,677.431624494493,-2258.2770623266697,267.95455449448207,0.1665921089350848,6.163570609773093e-09
29,96.0,0.5133892454206943,697.2576594725251,-1538.120075315237,265.0069652804916,0.0711509819252424,9.238909568122775e-09
30,119.0,0.5173665001755581,728.3398453146219,-1672.806604206562,250.98454439382584,0.1188354042534144,1.8181515833826388e-08
31,132.0,0.5071127584762871,704.5873149484396,-2999.108774587512,293.5087158308905,0.0163126958497737,1.7860816700625643e-08
32,125.0,0.5299424058618024,732.9142324253917,-3413.431515544653,306.24968043176824,0.3792726767012772,2.16468288495813e-08
33,136.0,0.5175143420696259,681.3279370963573,-1917.0607578009367,255.08665548911867,0.1256378724627543,6.724291122523955e-09
34,184.0,0.521896168240346,706.777433604002,-1698.1791481375694,236.1993683689151,0.1798113544969449,1.0725663390075368e-08
35,194.0,0.5303619982767851,678.1171188876033,-3202.866115048528,274.0248098576113,0.3515155810750506,6.287342815079722e-09
36,208.0,0.5140792518621311,651.9461563229561,-3061.3087356090546,258.3621717225184,0.073830728881243,4.888977420167812e-09
37,237.0,0.5333267434779555,723.9083947986364,-2773.012103140354,236.78523174054976,0.3694405736139334,1.7223614932064433e-08
38,148.0,0.5106729016499594,651.0419624298811,-2342.2431260347366,257.0846896783719,0.0171884070209443,6.1364360229494606e-09
39,152.0,0.5209853530908004,674.6675409376621,-3538.0992025136948,323.88675568996223,0.2679577421593201,5.732847789276928e-09
40,157.0,0.5290285137994215,744.0765133500099,-3072.557675465941,199.7856395054844,0.2786541738912634,3.34669749306685e-08
41,183.0,0.5179821550706402,718.8176770880818,-3113.6561784893274,330.1659793781776,0.2326866661726553,1.3698610204902976e-08
42,192.0,0.5121023717429489,703.6355060338974,-2397.397695109248,307.0042775307887,0.1135067121001538,1.0597009930685513e-08
43,239.0,0.5151110528688878,749.4853777065873,-1976.223257929087,207.9997733844089,0.0466386987238851,4.1457555683447936e-08
44,250.0,0.525922140670009,694.2294486239552,-3130.9511326253414,325.67985848534767,0.3416351500830147,8.038190071002747e-09
45,258.0,0.5298575525870547,709.9231662228703,-2942.401920631528,313.82571314232,0.386127487913266,1.1398464997487703e-08
46,154.0,0.5279510343121365,708.6090087518096,-2504.886158555746,291.99682752796065,0.3333124588254599,1.09567498518656e-08
47,175.0,0.5144915440585465,737.5701261684299,-1396.9366662204266,210.0363558753656,0.0374219104722255,2.7565478188758453e-08
48,240.0,0.5161573590105399,684.499049782753,-1278.48711758852,165.97443850389112,0.0443659512193703,8.527783008707792e-09
49,244.0,0.5085713643999771,665.6636759638786,-2841.1765426397324,289.9778801027153,0.0328405907871872,6.5543318888903194e-09
50,255.0,0.5114629846205935,726.1548862233758,-3589.572459831834,316.48409821395285,0.1185685687930365,2.0013755070008654e-08
51,264.0,0.517098977570422,698.7869644165039,-1201.6757424920795,169.73210684375294,0.0620778566882245,1.0285859427295964e-08
52,308.0,0.5094263533502817,697.4752379208803,-3500.938779115677,317.038256243026,0.0895063990555714,1.0718647479263532e-08
53,314.0,0.5263817398250104,662.4046437069774,-3323.7811736762524,188.4899902942594,0.2289521208465082,5.641290277827306e-09
54,212.0,0.5104042613180354,701.0163593292236,-1031.0264334082603,254.8263436210437,0.0100059833260187,1.34808556948602e-08
55,232.0,0.5196589247509837,695.7145930081606,-3218.015868589282,332.4244578614875,0.2596198159864575,8.175418838968798e-09
56,263.0,0.5217273588897661,711.8669608607888,-3387.0779134333134,334.76937439781585,0.2920329929986422,1.1528498057166598e-08
57,272.0,0.5150255593005568,680.0208825618029,-3309.0691298246384,325.1564662282591,0.1832542337318762,6.379361472637858e-09
58,277.0,0.5237713090702891,738.196313008666,-2849.899458512664,290.4217415821224,0.2672661274377862,2.4748170892047864e-08
59,150.0,0.5374132871860638,685.4759803786874,-3363.90785202384,260.311220636956,0.4520852662758622,7.407663605262124e-09
60,160.0,0.5127744531910866,688.0847575515509,-2798.354522511363,316.2004151388374,0.1374220293088876,7.607465259625522e-09
61,165.0,0.5272336099110544,731.1281884461641,-3249.8332545161247,313.9763948425976,0.3475506725796815,2.0055010190518244e-08
62,178.0,0.5316499744681642,701.9766995683312,-3551.5203528106213,330.0587152821401,0.4288064903743938,9.627709894077526e-09
63,197.0,0.5264720291830599,716.6828243434429,-1963.277207314968,201.62697711917065,0.235980436677171,1.4089087224603722e-08
64,215.0,0.5186720135295764,733.2559454068542,-2502.209994569421,299.3920670178273,0.2012156895290616,2.066632600993644e-08
65,276.0,0.5109551896899939,669.2041585594416,-1739.3512442708015,258.47151570376974,0.0235184048554129,7.046437104798005e-09
66,287.0,0.5140010369289667,730.575186572969,-1109.607570245862,203.6479090621305,0.025216139637471,2.3370079777786884e-08
67,298.0,0.5229971721256153,700.7356197759509,-2243.9406115561724,295.1222344594353,0.2612994247127391,9.059841579916558e-09
68,159.0,0.5135813762014731,710.5378760024905,-2078.1245592981577,298.4614194683732,0.1227321269557611,1.1863483200823945e-08
69,176.0,0.5162467942526564,668.4966575354338,-2548.188364505768,276.90781577213284,0.1325384851269841,5.469615885987884e-09
70,199.0,0.5223188368976116,743.6733814701438,-2730.181510001421,267.6672547970777,0.2170598967850353,2.992936481434046e-08
71,256.0,0.5115546566573903,675.4326108843088,-2144.8548685759306,279.68979695527844,0.0629437940849443,6.576648248056706e-09
72,296.0,0.5187567772017792,667.6586386561394,-3011.606554314494,293.3903693711731,0.1942411285291936,5.236261510204418e-09
73,303.0,0.5141654857201502,717.532930932939,-2678.392291814089,317.4437781466287,0.1596900163035164,1.3925587277030337e-08
74,340.0,0.5101660472527146,682.8504304587841,-2087.48881816864,284.48073444625624,0.048676006942175,7.82602796301946e-09
75,344.0,0.5200396034680307,702.8268416970968,-2832.2509825229645,327.4690159142816,0.2588096444480902,9.421003443017251e-09
