Unnamed: 0,Nr,xNi,T,t,Ms,cfrac,mipd
0,0.0,0.5225260461773723,679.0583443641663,-2410.9287690371275,263.7588449120988,0.2159975043433997,6.337372765027667e-09
1,10000.0,0.5267323324130848,703.6438736319542,-2488.756798580289,297.0759799836172,0.320551658076105,9.756539351081733e-09
2,10002.0,0.5134374597202986,653.1733509898186,-3203.571301326156,272.4513741221979,0.0820445265730902,4.792155044058991e-09
3,10005.0,0.5212516855495051,714.3304612115026,-1982.723058387637,283.5488655588601,0.2196232331155041,1.2232492160353405e-08
4,10014.0,0.5107828210899606,665.9686644747853,-2378.018694743514,276.7951622391215,0.0464748533439355,6.046900337906654e-09
5,10021.0,0.5183846723334864,726.2877145782113,-1515.243162587285,222.59274432300688,0.1112685852319015,1.7496380376958112e-08
6,10026.0,0.5220365302078426,682.7084070444107,-2870.981336385012,312.37365842899925,0.2687961451052817,6.504002768696342e-09
7,10029.0,0.5129712467407808,744.8032443597913,-2293.615233153105,253.0514195906712,0.0495659041550194,3.624007194550057e-08
8,10031.0,0.5277135295234621,739.3162279203534,-3377.454476058483,295.56170632286444,0.3337375931101755,2.6548487577200163e-08
9,10034.0,0.5121961492719129,705.0605282559991,-1754.1380278766155,280.6544888718438,0.0744255926007914,1.10094720335328e-08
10,10040.0,0.5310032035596669,699.3427037075162,-3252.920862659812,321.843109755321,0.4112689797163216,9.07908250375058e-09
11,10042.0,0.5176205680659041,664.0443502739072,-2536.787571385503,246.8605124513833,0.1187957526257684,5.423308728418857e-09
12,10045.0,0.5141795443929732,718.4631812572479,-3084.393921867013,325.31486481785373,0.1712292191908277,1.4264996126016165e-08
13,10050.0,0.5144573540659622,660.9334224462509,-1526.2614760547876,166.88920773459864,0.0153336570546472,7.566501733445993e-09
14,10058.0,0.5202829441567883,709.9183960258961,-2310.722482949496,310.35300333934265,0.2401759156244751,1.0994353816343252e-08
15,1006.0,0.5073235305259004,658.404759503901,-2705.5328506976366,288.139533839777,0.0105831538357037,7.335191336135219e-09
16,10063.0,0.5259434653213247,712.1658626571298,-2142.1887561678886,265.9839712816948,0.2730792166486932,1.1911651743141224e-08
17,10065.0,0.5083842688798904,716.0028341785073,-3515.2898345142603,299.29023937857204,0.0452817852183539,1.993804860435058e-08
18,10068.0,0.5364359835535288,706.0228236019611,-2784.25622843206,225.3288468944776,0.4149890267655598,1.1397507815430961e-08
19,10074.0,0.5186354938708246,668.6957428231835,-3095.355774834752,301.02158698715726,0.2029090590316083,5.292315285216734e-09
20,10077.0,0.5166253106063232,728.7981702387333,-2519.623378291726,307.2231275649565,0.1814025636775241,1.826354238958564e-08
21,10078.0,0.5102790009835735,700.4899328947067,-1322.826050966978,264.00070814659216,0.0199855801703091,1.2080226904136476e-08
22,10079.0,0.5244268210045994,753.4471024572849,-3151.375661417842,194.5372764395765,0.1980233319155578,4.715879501735546e-08
23,10082.0,0.5160286084096879,697.2859156504273,-3430.953428149224,333.9483298016494,0.2097547634091794,8.566862384036452e-09
24,10087.0,0.5330212091933936,724.8496054112911,-2924.92652758956,267.4268663466575,0.3874698116502324,1.7272413536993382e-08
25,10093.0,0.5138680104678497,711.6846802830696,-1182.2490390390158,233.2593437279454,0.0442535311725776,1.3280165776157138e-08
26,10094.0,0.507389328465797,680.0961129367352,-2604.1528433561325,292.6406709362243,0.0190926367850763,9.45543115359786e-09
27,10096.0,0.5263987295236439,683.9349155128002,-3044.7292674332857,308.9021494308952,0.3293456562950682,6.699725215855723e-09
28,10098.0,0.5116561944456771,678.5083381831646,-1964.7283729165792,275.3639170173512,0.0580927027777198,6.945863996654941e-09
29,1010.0,0.5115900800051167,701.1143032088876,-3417.041326314211,326.5055116424556,0.1355128078690471,1.0231856743000116e-08
30,10101.0,0.5208906181808561,733.9818555489182,-3213.702393695712,321.2460015870513,0.2632366018399139,2.1169720040755973e-08
31,10110.0,0.5090374331269414,661.259707249701,-2719.5264514535666,283.8120866446334,0.030081095391095,6.176329869588479e-09
32,10112.0,0.5229524102900177,682.028929181397,-2132.0317033678293,223.27988042359107,0.1882375355882571,7.023173443434252e-09
33,10114.0,0.5152824148023502,672.9132987931371,-2765.540511533618,301.17095270514955,0.1525018023060363,5.7253686074038e-09
34,10117.0,0.5172973608318716,739.5782253146172,-2413.0516167730093,280.43246498506875,0.1538340424576935,2.5751888840922424e-08
35,10119.0,0.5319958901638165,745.4711923003197,-3497.006731107831,158.06893456371955,0.3161386782473218,3.6544045784785936e-08
36,10128.0,0.5274123178282752,663.3101680874825,-3372.37097248435,183.3234949124981,0.2446852800082186,5.737466634132834e-09
