TargetHeight,WallThickness,AveragePerimeter,x1,x2,x3,x4,x5,x6,x7,x8,Modulus,PlateauStrength,CriticalEfficiency,CriticalStress
25.000006137051034,0.954815994,87.27685109,20.86296023,0.722785115,0.999927294,-0.016646013,0.242516298,2.256878046,0.937203922,0.015955102,1204.648262,55.20585932,0.446196291,4.141548804
18.999984750840195,0.945992432,153.0,0.0,1.137600185,0.853200138,0.422000231,-0.004599839,0.392699082,0.0,0.0,170.1587781,24.00282241,0.339245914,1.092251408
25.00001114093031,0.91731686,127.1825164,167.6726164,0.563466075,0.99183651,-0.08556436,0.286828607,2.326831525,0.627999912,0.027129544,1249.639267,59.82694547,0.621534187,0.619951689
19.000031871214,0.83170213,110.7430892,8.871702742,0.722829031,0.972677446,-0.168153314,0.052885005,1.83749475,0.0,0.0,1138.082119,64.35906827,0.446304143,2.82577804
18.99999169709795,0.456654537,201.6957144,102.2809374,0.967115328,0.001283642,0.117116844,-0.57088676,1.98865021,0.0,0.0,12.02248955,2.007891675,0.255367742,0.000479409
22.46319610102516,0.633207716,90.8982448,0.0,0.44552147,0.44552147,-0.116775184,-0.116775184,0.0,0.0,0.0,1444.325157,61.67500206,0.34448525,7.10154363
19.00001004288769,0.893119353,73.66257768,41.17151136,0.948389489,0.090559963,0.586382391,-0.441571783,0.950001042,0.575550484,0.002700201,31.13874615,5.914160015,0.422827223,0.140652724
18.99999842107298,0.526315789,275.0,169.2307692,0.137728888,0.22036622,0.991647992,0.991647992,0.0,2.35619449,0.131578947,37.55685999,6.686648322,0.180172612,0.225607407
19.000006707205834,0.497377464,291.0,0.0,0.0,0.0,-0.977563792,-0.977563792,6.283185307,0.0,0.0,16.25023124,3.215637801,0.150287805,0.112993394
18.99999210814048,0.995,92.56810368,18.51362074,0.426600069,0.426600069,-0.431199908,-0.146799862,0.0,0.5,0.013157895,45.34132086,8.719176309,0.338235786,0.366392797
12.69535077154159,0.757799376,228.9250295,23.89449304,0.899921055,0.144733278,0.368386537,0.485352941,1.019214062,0.226301872,0.041548565,1355.943473,61.57948594,0.376797003,0.344122
19.00001118368011,0.61,237.2735116,237.2735116,0.0,0.711000115,0.990800323,-0.146799862,1.5,0.0,0.0,13.37742607,1.868537434,0.241017863,0.000250417
19.000010331402144,0.70078143,131.4322258,118.1599889,0.019631702,0.615382187,-0.388574231,0.365416909,0.0,0.938855545,0.043616342,45.9149942,8.424555126,0.272503267,0.001762975
19.000015651694348,0.663690148,264.3381058,66.19118385,0.976287186,0.402971992,0.09431707,-0.467496854,0.013903967,0.112731885,0.003012289,19.68055377,3.45640247,0.518916502,0.012216833
26.634517460351695,0.822895983,92.74045771,51.57140278,0.295091262,0.670855111,-0.1821744,-0.144394493,1.9816003,0.367546026,0.031821791,1430.330979,58.03808833,0.566113518,3.122442823
29.029540341294634,0.875780415,90.029208,37.06766445,0.248133093,0.860440268,-0.1905244,0.096678244,1.651231327,0.209503726,0.036380829,1079.086219,60.74815813,0.664576333,2.088592233
27.247036953549433,0.842965507,106.8335316,38.59453879,0.167244849,0.926986467,-0.231868106,0.129762598,1.588175239,0.131799203,0.03589325,1431.090986,62.56561181,0.691394959,1.465429661
