k,primary_mean_radius,primary_minimal_radius,primary_maximal_radius,primary_rsd,secondary_mean_radius,secondary_minimal_radius,secondary_maximal_radius,secondary_rsd,T1,ys_700,fgamma
65396,9.01478740389276e-06,2.609390158710291e-06,0.0001380324213834,2.611440277099609,5.896799831483548e-10,2.5900742528346483e-09,3.386742142600291e-08,2.8725074768066405,1092.0093536376953,623.0662547795,0.1628174252594
65397,0.0001802957480778,1.6503232411105553e-05,4.364968425196929e-05,0.6614402770996093,1.1793599662967097e-08,1.6381067895832634e-08,1.0709819018295693e-07,0.9225074768066406,1017.0093536376952,432.3781236435,0.3051758414297
65398,4.031535487562613e-05,1.0375858065775515e-06,7.76213347599772e-05,3.5864402770996096,5.274258109162608e-08,6.513691901750677e-09,6.022573819297204e-08,1.897507476806641,1054.5093536376953,537.9115149918,0.2434474079262
65399,2.0157677437813064e-06,6.562268833295961e-06,2.454602128639272e-05,1.6364402770996094,2.637129054581304e-09,1.0299051193062922e-09,1.90450506454785e-07,3.8475074768066406,1129.5093536376953,441.7856300085,0.05984283409162
65400,1.386154827830786e-06,5.211050338949171e-06,6.721730663372877e-05,0.9051902770996092,1.6219879657027558e-07,2.056759278842058e-09,2.93279786791188e-08,2.6287574768066406,1082.6343536376953,595.7536604055,0.1851166014592
65401,0.0001239814568947,2.0720979003489463e-06,0.000119531152385,1.8801902770996093,1.8134376749989794e-09,3.2713609011662355e-08,5.215334062313748e-08,1.6537574768066408,1045.1343536376953,553.2557320475,0.2609977541677
65402,6.19907284473831e-06,1.3105097799910556e-05,3.7799069288137085e-05,3.8301902770996095,3.62687534999796e-08,5.1724757480531405e-09,1.6492334395569965e-07,3.6037574768066407,1120.1343536376953,454.5306164416,0.08741432438439
65403,2.931360563255352e-06,1.3066304406008028e-06,2.834530317733028e-05,3.342690277099609,1.715043464580513e-08,1.2969581612290708e-09,3.9109488130633934e-08,1.1662574768066407,1063.8843536376953,588.910027048,0.2253884438373
65404,5.862721126510704e-05,8.263856504815772e-06,8.96357190083713e-05,1.3926902770996097,8.575217322902563e-10,8.2026836388555e-09,1.2367506061612404e-07,3.1162574768066404,1138.8843536376953,516.2571852427,0.03152323784763
65405,1.3109442972002078e-05,3.2860015925055853e-06,5.040586901155728e-05,2.3676902770996096,3.8349537711687805e-09,2.0628657241220344e-08,2.199288138289691e-08,2.141257476806641,1101.3843536376953,615.8819288321,0.1390613721763
65406,6.554721486001038e-07,2.0782498854516264e-05,0.0001593973535166,0.4176902770996094,7.669907542337561e-08,3.261677097659088e-09,6.954759747986795e-08,0.1912574768066406,1026.3843536376953,454.2657410044,0.2916755629346
65407,7.197993172107738e-07,1.553278510429257e-06,0.0001073015774226,1.5755027770996095,6.475503957712752e-10,5.479370288313776e-09,2.632734908093412e-08,0.6178199768066406,1145.9156036376953,653.8034662024,0.01009649421935
65408,1.4395986344215478e-05,9.823795867100114e-06,3.393173811844512e-05,3.525502777099609,1.2951007915425538e-08,3.465458050905013e-08,8.325438785009248e-08,2.5678199768066405,1070.9156036376953,512.2130443704,0.2109502631253
65409,6.4380808137649e-05,3.906288649243724e-06,0.0001908121857953,0.6005027770996093,5.7918668152058704e-08,1.3779886748274365e-08,4.68173827915323e-08,3.5428199768066406,1033.4156036376953,548.0365867972,0.2807861406699
65410,3.219040406882449e-06,2.470553865934549e-05,6.034011124286382e-05,2.5505027770996094,2.8959334076029286e-09,2.1787914011859108e-09,1.4804956370921413e-07,1.592819976806641,1108.4156036376953,461.3538412363,0.1203111670436
65411,6.807441644183046e-06,6.194722131632748e-06,2.544521392760736e-05,2.063002777099609,6.124153532073694e-09,3.455199685704376e-09,6.243198335030272e-08,3.055319976806641,1014.6656036376952,490.2996480638,0.3083808531749
65412,0.0001361488328836,3.9178862815625766e-05,8.046483156147805e-05,0.1130027770996093,1.2248307064147416e-07,2.185260155504756e-08,1.974272662286665e-07,1.1053199768066406,1089.6656036376953,407.946406339,0.1685292987425
65413,3.044380453851245e-05,2.4632405920664763e-06,4.524870001149979e-05,3.038002777099609,2.7388047204724494e-08,8.689367182069309e-09,3.5108084251471045e-08,0.1303199768066406,1127.1656036376953,675.2465411715,0.06682213343753
65414,1.5221902269256225e-06,1.5578901391823503e-05,0.000143088953198,1.0880027770996097,1.3694023602362215e-09,1.3739095860429014e-09,1.1102151051973617e-07,2.0803199768066407,1052.1656036376953,450.562383308,0.2479791969583
65415,2.213592520640405e-06,3.1019556355863097e-06,3.9183759888381e-05,0.3567527770996094,1.8833555589331378e-08,1.730162533427761e-09,5.406387021797177e-08,3.2990699768066407,1005.2906036376952,496.4718981933,0.3205670458155
65416,4.427185041280812e-05,1.961849001849599e-05,0.0001239099285364,2.306752777099609,9.416777794665668e-10,1.0942508655837895e-08,1.709649690125347e-07,1.3490699768066408,1080.2906036376953,420.4229628744,0.1904634219688
65417,0.0001979897340254,1.2334472594578922e-06,2.2034647461572616e-05,1.3317527770996094,4.211311055576599e-09,2.7518952376890907e-08,3.0402348423293295e-08,0.3740699768066406,1117.7906036376953,676.655647063,0.09414626302219
65418,9.899486701274106e-06,7.801005427159207e-06,6.967967341741697e-05,3.2817527770996096,8.422622111153217e-08,4.3511284166339726e-09,9.614066723563572e-08,2.3240699768066406,1042.7906036376953,460.2991314182,0.2651335754766
65419,4.681178240584257e-06,1.95604158383044e-06,0.0001652365453611,3.76925277709961,1.7811677166305013e-07,1.0910116906073847e-09,2.279854503273536e-08,0.8615699768066406,1136.5406036376953,647.3033643571,0.03864805940195
65420,9.362356481168516e-05,1.2371093205814752e-05,5.225238360389764e-05,1.8192527770996088,8.905838583152489e-09,6.900163792380539e-09,7.209532964136178e-08,2.8115699768066404,1061.5406036376953,521.0945579909,0.2300289700913
65421,2.093486552147853e-05,4.919184154716704e-06,9.291933788826656e-05,2.7942527770996093,1.991406046856937e-09,1.735299324565418e-08,4.054218321055844e-08,3.786569976806641,1024.0406036376953,552.2154545434,0.2951560321397
65422,8.680121516505288e-07,4.383577674355667e-06,0.0001153071150895,3.1598777770996094,2.4014535804790166e-09,7.743258797716525e-09,7.74742056180133e-08,3.9084449768066407,1075.6031036376953,525.4896601722,0.2008858068117
65423,1.736024303301058e-05,2.772417950245557e-05,3.646331141062998e-05,1.2098777770996094,4.802907160958044e-08,1.224316715646061e-09,2.4499494966513498e-08,1.9584449768066408,1000.6031036376952,481.5306895547,0.3262993846391
