k,primary_mean_radius,primary_minimal_radius,primary_maximal_radius,primary_rsd,secondary_mean_radius,secondary_minimal_radius,secondary_maximal_radius,secondary_rsd,T1,ys_700,fgamma
0,3.302676693016035e-05,7.188016810017098e-06,5.264436881911507e-05,1.6114220124669374,6.8750246638315475e-09,6.0542664998512685e-09,4.081972872223177e-08,3.908840515185148,1101.6983460169286,638.3083634512,0.1382408362325
1,7.782564456815047e-06,2.4211226744123897e-06,0.0001945978135474,2.8992324743419884,1.7846789324859922e-08,1.9451295970093343e-08,7.75011812367146e-08,1.9420939202420413,1148.7400545272976,609.9697953045,0.001512835020412
2,6.728695536844402e-07,1.61768627031536e-05,2.5372377632393516e-05,0.4021748166531325,6.307729070335053e-08,1.2412161462230228e-08,2.0617049222426644e-08,0.22232964085415,1125.869579659775,634.764438921,0.07065869619662
3,5.779702693039488e-05,5.363619868855952e-06,7.116411076419027e-05,3.1371915032155813,1.9409181725645782e-09,1.580585828938215e-09,1.4294132367967545e-07,2.216222999524325,1078.864456480369,439.5868517191,0.1936725468247
4,0.0001413069915191,3.296261456453803e-05,0.000133178561295,3.936153355706483,6.799036547146822e-10,3.4266123170552743e-09,3.4944312787871844e-08,1.0281867458485068,1113.1081114057451,651.6001641822,0.107373498656
5,1.82963778858784e-06,2.789097287079124e-06,3.741680863185496e-05,0.820277177914977,1.753869917371367e-07,2.6901887593778727e-08,1.6082157179503657e-07,2.994754842016846,1085.1087994407862,430.4240899167,0.1793728892461
6,3.145307778601675e-06,1.4879125285962565e-05,8.675416776097856e-05,2.220244114473462,2.8286394167728342e-08,7.023219500683122e-09,5.587847293639532e-08,3.2524960963986813,1109.1500037815422,613.4953974243,0.1183082052094
7,1.229229385151776e-05,1.2392969820424463e-06,3.201430667576065e-05,1.557043143827468,4.224947947684426e-09,2.1865877343389164e-09,9.391170307563797e-08,1.257829146180302,1137.112730415538,562.7146342075,0.03691075542744
8,1.7010420118729405e-05,2.332903150175234e-05,9.919779936587148e-05,1.049763624276966,1.283879059551759e-08,1.1238381863241615e-09,2.9951936288305764e-08,0.7790255640633403,1121.196037135087,644.0350531496,0.08434184830794
9,3.32609945175266e-06,4.962024354074917e-06,2.7996319654919854e-05,3.6781397076323623,9.527959209139316e-09,1.4396613684321297e-08,1.8145517911674657e-07,2.7582171092741192,1092.9407709045336,420.7996234487,0.1605221409669
10,1.3070334203414562e-06,8.357745909142878e-06,0.0001164722929692,1.2990071216598154,1.3962677902169842e-09,2.3186678695503482e-08,4.778851477045237e-08,3.490714966226369,1106.3996380893514,639.6126961484,0.1257667078323
11,0.0001352752424326,1.7514470638646455e-06,4.278681026501605e-05,2.449708186741918,8.741804661398074e-08,4.683494673974783e-09,1.057209561657819e-07,1.509147539269179,1134.691489650868,536.5687786543,0.04425240004383
12,7.240854059396403e-05,1.0160741814051164e-05,2.21506047351122e-05,2.6393144494853917,1.1523243844371585e-07,1.622469586331947e-09,4.647309076263088e-08,3.6721688865683975,1095.1010119868442,616.319611093,0.1551432865843
13,7.768185038457234e-07,1.3602643063044777e-06,8.15089199854525e-05,1.8390041256323455,1.0377690961634023e-09,8.034175494864728e-09,6.583405600539051e-08,1.6932749168016017,1141.8138816719877,628.6952027911,0.02259727292316
14,2.8960353471687332e-05,3.796941481057679e-06,0.0001699001807586,0.14223453393206,4.3175102285067536e-08,2.6131107651848594e-09,1.211520215962423e-07,2.4550220848061146,1080.43482999783,463.1313800543,0.1901370167999
15,2.131123813868781e-05,2.703785662921477e-05,2.974796038791052e-05,2.0556076343171297,1.625143591420829e-09,8.97190853793149e-09,8.056415620790482e-08,0.363425668887794,1090.0905233807862,575.775434386,0.1675005229152
16,5.450550480821612e-06,3.2330084150732103e-06,0.0001078046815242,1.392465933226049,5.0415979199947503e-08,1.8132206291523694e-09,3.6579892579306465e-08,2.3492257658392197,1118.0848279967904,661.5740527013,0.09330510004069
17,1.0550703942617688e-06,1.2117214766745704e-05,4.650006297652152e-05,3.7675518302246926,1.562425068930202e-08,2.9232914465572997e-09,1.3813147157373173e-07,3.5625564916059376,1132.7166598290205,491.9000260359,0.05021623387454
18,0.0001001298575991,9.833776998763695e-06,7.670810574813124e-05,0.4755745160393416,3.290333508663123e-09,1.2961730021850938e-08,1.6662317702971559e-07,3.385141807049513,1143.7566136941314,473.6897915973,0.01667414769186
19,1.1668788101331127e-06,1.8612539473317432e-06,2.038179245166293e-05,3.2106504721567037,2.536064339328718e-08,1.0110610257249902e-09,3.1494074157682265e-08,1.3995202669873834,1096.7187681235373,620.4375139488,0.1510646389793
