k,primary_mean_radius,primary_minimal_radius,primary_maximal_radius,primary_rsd,secondary_mean_radius,secondary_minimal_radius,secondary_maximal_radius,secondary_rsd,T1,ys_700,fgamma
0,0.0001055188020583,1.4771463051473932e-06,2.4543178067659232e-05,0.6090541738085449,1.3105940458354423e-09,1.2562982511547883e-09,1.269700262271922e-07,2.87140785548836,1121.5179125545546,494.7495083321,0.08340760698745
1,9.514219136258749e-07,2.229032392150474e-05,0.0001802453870702,3.829691636282951,1.419290545376101e-07,8.690121591027666e-09,5.0888591675274497e-08,0.4471600274555385,1102.521114051342,592.4353880768,0.1360832114449
2,2.775672054826755e-06,3.334579157536777e-06,3.66525446158699e-05,1.7898180516436697,3.762196042290941e-08,1.8192427998647016e-08,9.186918705391304e-08,1.8253847134299577,1089.6900312276557,517.0716070865,0.1684702373479
3,3.616234978014573e-05,1.0019126000359631e-05,8.580653303703178e-05,2.9538148164749147,4.830521086627592e-09,3.1917206528616723e-09,2.0580899218524616e-08,3.3051234766840936,1145.6282930914313,628.2103313797,0.01097124615138
4,1.5003806836882096e-05,5.260909041298686e-06,0.0001490637082475,2.2970837036147715,2.902999024163428e-09,2.1899149093344253e-09,7.136258201797222e-08,1.234523672889918,1081.912759016268,545.7247952809,0.1867724596334
5,6.642402010066748e-06,1.5736098121738128e-05,3.4897154393305766e-05,1.158798622339964,1.5718780524848454e-08,1.2583131555400704e-08,2.8599538044410665e-08,3.6549701133742927,1137.310647405684,668.6035515257,0.03630945007595
6,2.073168027645852e-06,2.3652350094147515e-06,6.969356560610618e-05,3.5083250413648783,8.332182369357092e-08,3.217151044832528e-08,1.634874518007277e-07,2.275787903368473,1129.9268785165625,465.9821427088,0.05859432669012
7,4.8063344615122216e-05,3.553109654964193e-05,5.118326710983445e-05,0.2524617915041744,5.349121893514351e-10,4.5553103003083925e-09,3.661226053776503e-08,0.7998649400658905,1110.24379436858,648.8277512113,0.1153098653082
8,8.695541855533686e-05,2.9463579495620924e-06,7.679385393024397e-05,1.4350078349001707,1.227568670956044e-07,2.757914460097997e-09,7.59576729079625e-08,1.381808473262936,1077.912720083259,525.7262287794,0.1957955417514
9,1.1536921804729117e-06,6.947231475431823e-06,5.840603032072192e-05,2.0819992433302104,1.6617103403677359e-09,2.513037814875092e-08,3.523202700390179e-08,3.862955698743463,1134.4068775884807,703.4942557873,0.04511338698235
10,7.200848175929093e-06,1.036427666652977e-06,0.0001125258922693,0.4675462953746319,8.809584698638794e-09,6.405398652556463e-09,1.7421177460209685e-07,2.301912803016603,1123.3610725263134,450.2564791095,0.07803401984509
11,1.392907435100974e-05,1.946378514609636e-05,2.7335118291931143e-05,3.232115785218775,2.262255209901007e-08,1.4382997778762338e-09,4.4951482084855964e-08,0.8871647230349481,1104.9253217410296,633.0971573655,0.1297163222176
12,2.6455008745333044e-05,1.652091873273482e-06,4.5763591336871744e-05,3.618406987190247,1.2398564983665062e-08,6.309835578634625e-09,1.3499267678978952e-07,2.7155534867197275,1112.6998539781198,477.8264658019,0.1085120550616
13,3.76445671622063e-06,3.1165573418273385e-05,0.0001111707500133,0.8814461262896657,3.35669674684219e-09,2.752291351458937e-08,6.261911826810361e-08,0.2306053386069834,1094.8040519841015,631.8687298814,0.155887280939
14,5.490742307507904e-07,4.627533581380648e-06,2.1806616306667942e-05,2.681422936636954,8.896558195775653e-10,1.444565083059702e-08,9.80030948304898e-08,1.792594542261213,1087.9787542158738,505.4198881971,0.1725836865236
15,0.0001813420600675,1.0960608774148966e-05,0.0001658522484133,2.001102628093213,4.5691668588314486e-08,1.598139137633472e-09,2.529639617561312e-08,3.2111588871106505,1145.1599170919508,654.6280817309,0.01239772483046
16,0.0001438281010685,4.409947082159874e-06,5.889994850522545e-05,3.337953801359981,6.4393607723764604e-09,3.0342200187628404e-08,5.250970285707588e-08,1.6238828062079846,1132.2806110838428,657.8371031647,0.05152960489321
17,6.975136960887505e-07,1.1670306459536816e-05,8.038081309811248e-05,0.1182554841972887,3.479048919741107e-08,5.4005284420631665e-09,1.1450289619877037e-07,3.133889025263488,1075.2050198148936,466.7481829818,0.2017543598543
18,4.35397446544595e-06,1.9539592549134823e-06,3.0129672306837896e-05,2.461996333114803,1.842738018051771e-07,1.840498532852654e-09,2.3027132040193084e-08,2.5478519555181265,1107.6376175275072,598.9437169257,0.1224239792008
19,2.303721619303257e-05,2.5969430760290808e-05,0.0001289901816296,1.2989386845380069,1.1873445810384228e-09,1.3293696447529246e-08,8.823249000064738e-08,0.1542295687831938,1125.482779275626,647.6542355078,0.07180037944789
20,1.0999218805628171e-05,1.237936077903878e-06,9.873739007036566e-05,1.651577869616449,7.140802406361317e-10,2.1646253187305066e-08,2.9516845222657214e-08,2.470185890607536,1096.930318349041,636.0173367851,0.1505280956103
21,9.054372150337892e-06,1.6527375674020026e-05,4.2271322358802414e-05,2.7870195087045437,7.716025001963726e-08,3.0211212636743924e-09,6.434192149106943e-08,0.9639805941842496,1115.40755382739,595.0146677635,0.100916138519
22,1.3207696183591824e-06,2.755369980395233e-06,0.0001556310815116,0.7451431593857705,2.043926653842047e-08,1.3320399514941482e-09,4.097258489744691e-08,1.5509756528772414,1142.4476217245683,689.2893501785,0.02066503031246
23,7.538977095370346e-05,7.324559903449465e-06,2.123907852433338e-05,3.9981629961170255,2.633962845244851e-09,7.330062447630974e-09,1.5698269214868678e-07,3.940781774744392,1085.8570476062596,432.9787640866,0.1776160244473
24,5.543533792787626e-05,2.2116681601279194e-06,0.0001916601700974,2.5718520754016936,3.0201130379145204e-08,1.0838580227848875e-08,3.148824371654364e-08,2.1385410003364087,1099.8134882422164,631.0477267504,0.143142435504
25,5.283007380197081e-06,6.285889412544792e-06,9.639038018059896e-05,3.7220069583505393,2.1606544675094103e-09,4.218769988140785e-09,4.3562314557457937e-08,1.096264589112252,1147.7500731823966,692.1224826454,0.004517634040343
26,1.8999997466388775e-05,1.3363570070076716e-05,3.976890843562911e-05,0.9603106653317808,1.1137486891728221e-07,3.681569527787074e-08,1.931723505417802e-07,3.5472475992515684,1092.4022525548935,412.9308427144,0.1618509646278
27,4.152634771866711e-05,3.945199459796978e-06,3.1587906678732345e-05,0.3906113911420107,6.090652590245466e-08,9.580285955330332e-09,5.5953333446288447e-08,1.9640967999584973,1140.0182741926983,651.699653491,0.02807011438944
28,2.400008883821408e-06,8.34960797558481e-06,0.0001303264885328,3.126603381149471,8.226669636939803e-10,1.075253650155154e-09,1.4058058938835973e-07,3.4134046457707883,1084.0390995610503,445.526114296,0.181868357053
29,7.49001629649739e-07,1.4075320002592009e-06,5.064226462393804e-05,1.5102890611626207,4.3583864818132795e-09,3.675748704671354e-09,2.4509489823922972e-08,3.009227825887501,1108.1220135791227,604.7641192751,0.1211095774312
30,0.000133037972088,2.3725612566024137e-05,6.673515784396985e-05,2.189640469755977,1.1233018288493676e-08,1.6741692468071214e-08,1.086922463534002e-07,0.5544290157966316,1127.2146562114358,544.6702661511,0.06667659480826
31,8.712673200641683e-07,9.05601874121432e-06,2.8604144011472685e-05,0.7783496158197521,9.206680963746173e-08,4.3787942215231755e-09,8.52369466358645e-08,2.0739635658450424,1133.053985820152,571.246785222,0.0491993115041
32,2.5722174152926307e-06,1.498882256150038e-06,7.361424789097973e-05,2.884018958825618,1.7180184011557194e-08,2.278161763578468e-09,5.450811191500509e-08,3.6054877678863706,1124.8004744760692,634.7763332193,0.07381040028396
33,3.9016216057950746e-05,2.015562905703677e-05,5.592508890464935e-05,1.6086114558391271,3.207833047469281e-09,1.0172541809794322e-08,1.1853553922105325e-07,1.1545119712129237,1106.288113235496,495.6976050721,0.1260666692459
34,1.9979712614989844e-05,2.3990922478081164e-06,2.2463372412586827e-05,1.2033665199764074,5.271936208261442e-09,1.736218657060709e-08,3.9470703608040356e-08,3.468924139160663,1116.0894384142011,667.2556542507,0.09898694479365
35,4.985475572464517e-06,3.2115666873518185e-05,0.0001706545633255,2.504485764633864,4.15115098586259e-08,3.976612253143314e-09,1.5164363210523073e-07,2.019593723118305,1098.2816733652726,448.0387755111,0.1470833550177
36,1.538202487034033e-06,5.338316534165092e-06,4.471387835684487e-05,0.2207311607897281,1.5489044467423116e-07,1.0083481226188214e-09,3.0642061687490685e-08,0.4890233257785439,1084.5625375397503,615.5111305369,0.1806496176583
37,6.476837614448543e-05,1.4229052504996889e-05,0.0001082545086716,3.3042722368612885,1.4460381146804883e-09,9.105802164661248e-09,6.66027317486737e-08,2.9438005100004374,1141.6738088941202,625.8830034307,0.02302432494975
38,6.607817297297092e-05,1.0824287926140991e-06,3.759616818204751e-05,2.293068280257285,4.9864502276886815e-08,1.3789526867784484e-08,4.2059502708625984e-08,3.077888350840658,1117.820526892319,662.1835799567,0.09406076781207
39,1.519613242751371e-06,1.8114365826815424e-05,8.791710929787887e-05,1.4756553627550602,9.815951428633422e-10,1.991589968707089e-09,1.8618206134277105e-07,1.5678591256961227,1098.7654284806922,422.362352069,0.14584293469
40,9.376132256858829e-06,3.0759080090391408e-06,2.3880105783244772e-05,3.031983437668532,3.6634234278023006e-09,5.063360054656984e-09,3.26154138083936e-08,0.2191494140774011,1093.3958277106285,560.9406910961,0.159395512347
41,1.0711381815212017e-05,6.463021134665587e-06,0.0001747860332831,0.4321486015804112,1.368042857895133e-08,2.8832895946557602e-08,8.204922230744279e-08,2.612749739084393,1149.4108299491927,599.8990421639,0.0
42,2.396082831587837e-05,4.83291389871277e-06,7.28700018040052e-05,1.0544536265544593,2.4725744952089355e-08,7.924945361501367e-09,2.3662494100189875e-08,1.0280543064698575,1083.0459624994546,574.8166732718,0.1841682120497
43,4.160187331352767e-06,1.020069682981105e-05,5.333561421204843e-05,3.681897033471614,9.734674987978556e-09,1.3828799567985256e-09,1.0476736158701224e-07,2.5342672667466104,1138.3556488202885,542.5272796246,0.03313213528867
44,6.14049678266571e-07,1.724737795721255e-06,0.0001422859219849,1.8238309161737565,1.8161325930508158e-09,2.86839932627997e-09,5.7951719166798576e-08,3.882026951108128,1128.7838513031602,630.8742352388,0.06200865658506
45,0.0001623638769573,2.8993417281157383e-05,3.327284054115548e-05,2.60791487544775,1.356403712152011e-07,2.0311537536364322e-08,1.458583448242008e-07,1.4922275487333536,1109.1704935533926,463.2042771704,0.1182522040769
46,0.0001872380833181,1.8176712164005049e-06,9.368079135547025e-05,0.2961409363895654,2.381913518867905e-09,1.5108554290925347e-09,9.536443971369327e-08,3.807450872007757,1100.8871346712112,518.644253413,0.1403574618881
47,5.362742503064882e-07,2.710983549657622e-05,3.8607716312827547e-05,3.4120382932946085,1.871436748666876e-08,6.844298232565037e-09,2.1305603873191133e-08,1.3262968834489584,1120.5328221200034,606.3298200171,0.08626281323814
48,3.3091591370523944e-06,4.1044311556368405e-06,0.0001968154577022,1.126306785736233,6.978029778259081e-08,2.3182238626892663e-08,1.2230698413221534e-07,0.9525850651785732,1146.7031302396208,527.527418699,0.007700038859083
