k,primary_mean_radius,primary_minimal_radius,primary_maximal_radius,primary_rsd,secondary_mean_radius,secondary_minimal_radius,secondary_maximal_radius,secondary_rsd,T1,ys_700,fgamma
65116,9.06768789245706e-06,6.538671305637799e-06,3.892032149263414e-05,2.0744285583496094,1.2991563014439488e-09,2.064181954138002e-09,2.5113041792691133e-08,0.7663551330566406,1115.5933380126953,611.8630553606,0.1003911560053
65117,4.287844868675478e-06,1.6395210971522109e-06,2.9186123712683863e-05,2.561928558349609,6.143330854371073e-10,3.273448222391668e-09,1.0590081914433704e-07,2.2288551330566406,1059.3433380126953,463.6448483938,0.2343026687815
65118,8.575689737350956e-05,1.0369241877798376e-05,9.229462700353078e-05,0.6119285583496094,1.2286661708742152e-08,2.070310437077413e-08,3.348877945736689e-08,0.2788551330566406,1134.3433380126953,684.3474334437,0.04530553781619
65119,1.917582520666405e-05,4.123177272459268e-06,5.190108285711448e-05,3.5369285583496093,5.494762159458235e-08,8.232286450342928e-09,1.883212461906304e-07,1.2538551330566408,1096.8433380126953,419.6494492607,0.1507487887934
65120,9.587912603332023e-07,2.6077262755223867e-05,0.0001641256348576,1.586928558349609,2.747381079729117e-09,1.301638776701314e-09,5.955240697637e-08,3.2038551330566407,1021.8433380126952,502.189932764,0.2983540648815
65121,7.950779182332845e-07,4.626966786610202e-06,2.0366969780214592e-05,2.440053558349609,3.1333273860733425e-08,2.323270865483816e-08,2.6986671303386304e-08,1.1319801330566406,1007.7808380126952,528.7847435938,0.3174260728347
65122,1.590155836466569e-05,2.926350740727704e-05,6.440601354129709e-05,0.4900535583496094,1.566663693036671e-09,3.673413778219763e-09,8.53393477850056e-08,3.0819801330566405,1082.7808380126953,517.4536097479,0.1847794078857
65123,7.111393090314576e-05,1.8398456241842168e-06,3.6218163005040575e-05,3.4150535583496096,7.006333031021721e-09,1.4606792262338775e-09,4.7989841924300134e-08,2.1069801330566404,1120.2808380126953,645.7943541421,0.08699123887685
65124,3.5556965451572874e-06,1.1636205431032594e-05,0.0001145318877631,1.4650535583496094,1.4012666062043446e-07,9.238146571582852e-09,1.517572050322262e-07,0.1569801330566406,1045.2808380126953,379.0172592344,0.260736080722
65125,0.0001503876539345,7.337597430464625e-06,2.7159790710138907e-05,3.90255355834961,3.3130903369852903e-09,5.825421435507144e-09,1.1380184927814465e-07,0.6444801330566405,1064.0308380126953,470.498684804,0.225095581539
65126,3.362770171744087e-05,2.91768822796242e-06,0.0001527307269983,0.9775535583496092,7.408295209096791e-10,2.3163935751954822e-09,2.0237148539567745e-08,1.6194801330566406,1026.5308380126953,488.4916870298,0.2914556198215
65127,1.6813850858720432e-06,1.845308060524365e-05,4.829769660080643e-05,2.9275535583496093,1.4816590418193587e-08,1.4650159309996474e-08,6.399548273218424e-08,3.569480133056641,1101.5308380126953,586.8942867003,0.1386787720634
65128,1.1562145794893075e-06,2.31691517301572e-06,0.0001763706920461,3.6588035583496095,1.0773257228614502e-09,7.335945546584679e-09,4.155749099013305e-08,2.8382301330566406,1148.4058380126953,698.034563774,0.002526712412565
65129,2.3124291589786155e-05,1.465345818426553e-05,5.577330993660855e-05,1.7088035583496095,2.1546514457229002e-08,1.159914835908822e-09,1.3141632537074646e-07,0.8882301330566406,1073.4058380126953,450.3477058941,0.2056477715339
65130,0.0001034149758525,5.826733184579176e-06,9.918052868999023e-05,2.6838035583496094,9.635894200909209e-08,2.917031380513898e-09,2.336949455497741e-08,1.8632301330566408,1035.9058380126953,515.4241112984,0.2767603824266
