Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Nr,T1,T2,t1,t2,c,sigma_pc,tges,cfrac,M_sigma_pc_0,M_sigma_pc_1,M_sigma_pc_2,M_sigma_pc_3,M_sigma_pc_4,M_sigma_pc_5,M_sigma_pc_6,M_sigma_pc_7,M_sigma_pc_8,M_sigma_pc_9,M_cfrac_0,M_cfrac_1,M_cfrac_2,M_cfrac_3,M_cfrac_4,M_cfrac_5,M_cfrac_6,M_cfrac_7,M_cfrac_8,M_cfrac_9
16040,16040,16040,16040.0,349.62158203125,310.38818359375,3.269642130533854,3.161361694335937,0.0017989501953125,145.5491464950456,6.431003824869792,-0.0069492445960593,139.73814392089844,140.5033416748047,158.7968292236328,158.501953125,137.73797607421875,89.31441497802734,106.66577911376952,70.64200592041016,91.55908966064452,96.56575012207033,0.0059801875613629,0.0064941933378577,0.0057619391009211,0.0051887175068259,0.0045793964527547,0.0059501342475414,0.0059501342475414,0.0059501342475414,0.0062663699500262,0.0062663699500262
16041,16041,16041,16041.0,449.62158203125,410.38818359375,0.7779754638671875,0.6696950276692709,0.0027989501953125,112.6858708236603,1.4476704915364584,-0.0104278109842362,109.19953918457033,109.89952850341795,96.29804229736328,95.47394561767578,115.32635498046876,130.73016357421875,129.04827880859375,171.00746154785156,142.45492553710938,96.56575012207033,0.0100652957335114,0.0100489789620041,0.0099757798016071,0.0105765992775559,0.0110856276005506,0.0092576937749981,0.0092576937749981,0.0092576937749981,0.0062663699500262,0.0062663699500262
16042,16042,16042,16042.0,499.62158203125,360.38818359375,4.515475463867188,4.407195027669271,0.0022989501953125,8.128575185437352,8.922670491536458,-0.0070418741836021,71.25959777832031,40.992618560791016,36.92990112304688,57.77239227294922,81.70674133300781,71.42603302001953,95.3877410888672,115.36759948730467,117.00701141357422,96.56575012207033,0.007998120971024,0.0076621435582637,0.0067974003031849,0.0078826583921909,0.0074787507764995,0.0076039140112698,0.0076039140112698,0.0076039140112698,0.0062663699500262,0.0062663699500262
16043,16043,16043,16043.0,399.62158203125,460.38818359375,2.023808797200521,1.915528361002604,0.0012989501953125,17.194017634562872,3.939337158203125,-0.003689065005329,15.440454483032228,32.48899841308594,27.97206115722656,21.42643928527832,24.983945846557617,35.64239501953125,67.38259887695312,36.8306770324707,66.11116790771484,96.56575012207033,0.0024754691403359,0.0023385919630527,0.0025835600681602,0.0024947768542915,0.0023875634651631,0.0042963549494743,0.0042963549494743,0.0042963549494743,0.0062663699500262,0.0062663699500262
16044,16044,16044,16044.0,374.62158203125,385.38818359375,0.1550587972005208,1.2926116943359374,0.0010489501953125,1.3111613283139392,1.4476704915364582,-2.763488826900093e-06,18.87160873413086,35.71882247924805,24.705209732055664,29.383583068847656,26.45754814147949,26.44867515563965,58.045196533203125,24.017868041992188,53.38720703125,96.56575012207033,0.0007691591163165,0.0009792281780391,0.0015301001258194,0.0011478065280243,0.0015569679671898,0.0034694650676101,0.0034694650676101,0.0034694650676101,0.0062663699500262,0.0062663699500262
16045,16045,16045,16045.0,474.62158203125,485.38818359375,2.646725463867188,3.784278361002604,0.0020489501953125,11.8993809239991,6.431003824869792,-0.0064270217862551,18.72129821777344,27.862865447998047,25.839067459106445,26.36484718322754,39.64712142944336,62.87059783935547,89.49280548095703,91.64051818847656,104.28305053710938,96.56575012207033,0.005818847566843,0.0058105015195906,0.0057439403608441,0.0065356879495084,0.0059406333602964,0.0067770243622362,0.0067770243622362,0.0067770243622362,0.0062663699500262,0.0062663699500262
16046,16046,16046,16046.0,424.62158203125,335.38818359375,1.4008921305338542,0.0467783610026041,0.0025489501953125,119.80262186710496,1.4476704915364584,-0.009264063737909,114.50244140625,141.21554565429688,151.48426818847656,134.24574279785156,160.56292724609375,121.56214141845705,124.44100189208984,141.8232421875,129.73097229003906,96.56575012207033,0.0092707201838493,0.0093346731737256,0.0089223189279437,0.0092296283692121,0.009193749167025,0.0084308041259646,0.0084308041259646,0.0084308041259646,0.0062663699500262,0.0062663699500262
16047,16047,16047,16047.0,324.62158203125,435.38818359375,3.892558797200521,2.5384450276692707,0.0015489501953125,104.80138241275876,6.431003824869792,-0.0050789842489055,97.25463104248048,90.4092025756836,77.34962463378906,95.58136749267578,60.19897079467773,76.80683898925781,98.9154815673828,52.3720588684082,78.83512878417969,96.56575012207033,0.004983939230442,0.0046041081659495,0.004708478692919,0.003841747296974,0.0033950395882129,0.0051232445985078,0.0051232445985078,0.0051232445985078,0.0062663699500262,0.0062663699500262
16048,16048,16048,16048.0,318.37158203125,329.13818359375,0.9337046305338542,2.382715861002604,0.0024864501953125,302.78322197885376,3.316420491536458,-0.0096507169423427,295.4830322265625,298.9266052246094,294.68218994140625,283.4459228515625,282.1997375488281,205.76461791992188,161.9010467529297,134.9535369873047,126.54998016357422,96.56575012207033,0.0096230003982782,0.0098940907046198,0.0097304126247763,0.0088928863406181,0.008748416788876,0.0082240812480449,0.0082240812480449,0.0082240812480449,0.0062663699500262,0.0062663699500262
16049,16049,16049,16049.0,418.37158203125,429.13818359375,3.425371297200521,4.874382527669271,0.0014864501953125,17.672944081959454,8.299753824869791,-0.0048169974809276,26.538145065307617,41.58684158325195,40.54654693603516,31.20403861999512,34.35613250732422,42.5849494934082,73.65332794189453,48.23090744018555,75.65413665771484,96.56575012207033,0.0037714757490903,0.0035990250762552,0.0033736552577465,0.0035050045698881,0.0031265881843864,0.0049165221862494,0.0049165221862494,0.0049165221862494,0.0062663699500262,0.0062663699500262
