,Nr,T1,T2,t1,t2,c,sigma_pc,tges,cfrac,M_sigma_pc_0,M_sigma_pc_1,M_sigma_pc_2,M_sigma_pc_3,M_sigma_pc_4,M_sigma_pc_5,M_sigma_pc_6,M_sigma_pc_7,M_sigma_pc_8,M_sigma_pc_9,M_cfrac_0,M_cfrac_1,M_cfrac_2,M_cfrac_3,M_cfrac_4,M_cfrac_5,M_cfrac_6,M_cfrac_7,M_cfrac_8,M_cfrac_9
0,0.0,331.0930635780096,417.7494652569294,3.04420200670138,1.2246266149760534,0.0026913789305835,230.10155566103808,4.268828621677434,-0.0097879872004125,234.96685791015625,233.5341339111328,210.79290771484372,210.8258056640625,189.77542114257807,222.9098663330078,168.5112762451172,158.11549377441406,136.97999572753906,96.56575012207033,0.0097483387216925,0.0098110726103186,0.0106772175058722,0.0099970176815986,0.0102499006316065,0.0089018950238823,0.0089018950238823,0.0089018950238823,0.0062663699500262,0.0062663699500262
1,1.0,434.8968636244536,392.4940217286348,0.7445084882744899,4.716713974454129,0.0010086919274181,0.8198523313877091,5.461222462728619,-3.011966140474216e-06,6.013626575469971,16.727806091308594,12.357927322387695,2.628972291946411,17.50252342224121,18.14781379699707,48.081329345703125,22.20965576171875,51.338226318359375,96.56575012207033,1.793618480405712e-06,0.0001631929335417,0.0006714983610436,0.0009308997541666,0.0014397498453035,0.0033363082911819,0.0033363082911819,0.0033363082911819,0.0062663699500262,0.0062663699500262
2,2.0,488.7014463543892,497.537481971085,4.35409938916564,2.21436279732734,0.0015334739591926,0.0010741213413647,6.56846218649298,-2.4722121474767236e-10,-10.93922233581543,7.099070549011231,10.328063011169434,-0.5171241164207458,19.935914993286133,33.21584701538086,65.04845428466797,51.33074188232422,78.04745483398438,96.56575012207033,0.0026509393937885,0.0026385255623608,0.0028686344157904,0.0037583629600703,0.0033275359310209,0.005072055850178,0.005072055850178,0.005072055850178,0.0062663699500262,0.0062663699500262
3,3.0,396.039229631424,321.89103346318007,1.8894734023914983,3.7464420536533,0.0022278771493583,132.1318759387729,5.635915456044798,-0.0085980395931214,143.92298889160156,143.0166473388672,163.647216796875,143.3509979248047,153.07720947265625,106.75440979003906,116.61576080322266,108.3445816040039,113.38968658447266,96.56575012207033,0.0083349710330367,0.0085046431049704,0.0075316000729799,0.0074997250922024,0.0070234811864793,0.0073688356205821,0.0073688356205821,0.0073688356205821,0.0062663699500262,0.0062663699500262
4,4.0,365.32125752419233,452.3881746456027,0.0840751972359915,2.6732067066710443,0.0023693192768841,113.67426429405543,2.757281903907036,-0.0081483860512242,129.6547393798828,127.97185516357422,118.19470977783205,120.84535217285156,103.0141830444336,141.89825439453125,134.44754028320312,122.53831481933594,120.5885009765625,96.56575012207033,0.0079130856320261,0.0082333600148558,0.0086082946509122,0.0082617988809943,0.0079435957595705,0.0078366640955209,0.0078366640955209,0.0078366640955209,0.0062663699500262,0.0062663699500262
5,5.0,469.5187820121646,327.98723448067904,3.706915335714196,1.3993580411653963,0.0019230367373675,9.462595212479895,5.106273376879592,-0.004932642227231,47.294219970703125,47.50044250488281,58.71919631958008,62.57138442993164,78.15874481201172,56.59120941162109,84.90608215332031,80.72348022460938,97.87458038330078,96.56575012207033,0.0055832359939813,0.0054780268110334,0.0051331245340406,0.0058572809211909,0.0052329320460557,0.0063605578616261,0.0063605578616261,0.0063605578616261,0.0062663699500262,0.0062663699500262
6,6.0,404.5695738866925,432.3722664266825,1.381804901920259,3.881938811826209,0.0014019202720373,21.596445939337368,5.263743713746468,-0.0045284696873355,24.65959930419922,41.72361373901367,38.98341369628906,31.298614501953125,32.19339370727539,40.5079231262207,71.83470153808594,42.9013900756836,71.35191345214844,96.56575012207033,0.0032859053462743,0.0031638243235647,0.0030747721903026,0.0030495673418045,0.0027810998726636,0.004636934492737,0.004636934492737,0.004636934492737,0.0062663699500262,0.0062663699500262
7,7.0,311.519736237824,357.5803212821484,4.859183767391369,0.2100937619184454,0.0028286691177636,367.4903131131514,5.069277529309814,-0.0108220843638251,349.5526733398437,371.16839599609375,328.19610595703125,315.6306457519531,323.1976318359375,278.14605712890625,188.2351837158203,174.65821838378906,143.96749877929688,96.56575012207033,0.0109177641570568,0.0107907298952341,0.011612556874752,0.010736720636487,0.0113222887739539,0.0093559911474585,0.0093559911474585,0.0093559911474585,0.0062663699500262,0.0062663699500262
8,8.0,317.9597547277808,480.995331518352,1.637841115379706,1.6231196495238691,0.0012042920123785,53.2751874590213,3.260960764903575,-0.0030127717321848,53.725196838378906,44.13200759887695,31.06234741210937,54.134124755859375,31.07848358154297,48.39484024047852,78.51702880859375,31.658353805541992,61.29345703125,96.56575012207033,0.0028140970971435,0.0025619710795581,0.0029582360293716,0.0019847697112709,0.002052265452221,0.0039832671172916,0.0039832671172916,0.0039832671172916,0.0062663699500262,0.0062663699500262
9,9.0,423.1281196698546,305.8131353929639,4.643296479713172,3.0917925457004456,0.0025255725849419,141.10362672966323,7.735089025413617,-0.0094919158450211,134.3511199951172,143.94090270996094,168.1810760498047,152.5684051513672,190.9351501464844,120.1865005493164,123.7348861694336,139.2337188720703,128.54115295410156,96.56575012207033,0.0094426115974783,0.0099431006237864,0.008814763277769,0.0091036725789308,0.0090258819982409,0.0083534810692071,0.0083534810692071,0.0083534810692071,0.0062663699500262,0.0062663699500262
10,10.0,450.56208316236734,410.7841107994318,0.4472487276575217,0.5701267265093823,0.0020474234391003,25.733931024345072,1.017375454166904,-0.0050936237883264,58.05360412597656,59.146949768066406,59.12631988525391,53.14990234375,61.333961486816406,69.6603775024414,94.2013702392578,91.50399780273438,104.2053451538086,96.56575012207033,0.0059671886265277,0.0060950662009418,0.0059936586767435,0.0065274620428681,0.0059317834675312,0.0067719742655754,0.0067719742655754,0.0067719742655754,0.0062663699500262,0.0062663699500262
11,11.0,359.27654299885035,385.2109096944332,3.3060261477405826,4.125316287608197,0.0017456726264208,121.1593638389542,7.431342435348779,-0.0064105334669244,107.25435638427734,107.48798370361328,106.06839752197266,101.79169464111328,79.74307250976562,79.64300537109375,100.72520446777344,66.51970672607422,88.84748077392578,96.56575012207033,0.0062353452667593,0.0058534420095384,0.0053769024088978,0.0049016643315553,0.0043121669441461,0.0057739159092307,0.0057739159092307,0.0057739159092307,0.0062663699500262,0.0062663699500262
