Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Nr,T1,T2,t1,t2,c,sigma_pc,tges,cfrac,M_sigma_pc_0,M_sigma_pc_1,M_sigma_pc_2,M_sigma_pc_3,M_sigma_pc_4,M_sigma_pc_5,M_sigma_pc_6,M_sigma_pc_7,M_sigma_pc_8,M_sigma_pc_9,M_cfrac_0,M_cfrac_1,M_cfrac_2,M_cfrac_3,M_cfrac_4,M_cfrac_5,M_cfrac_6,M_cfrac_7,M_cfrac_8,M_cfrac_9
16460,16460,16460,16460.0,367.205810546875,337.811279296875,0.6871841430664063,2.1979395548502603,0.0024425659179687,211.30204372841703,2.885123697916667,-0.0094729693278537,201.9580993652344,208.6933441162109,214.9525909423828,187.1080780029297,194.33338928222656,149.2633819580078,137.89259338378906,130.23187255859375,124.3164520263672,96.56575012207033,0.0093021057546138,0.009403234347701,0.008975232951343,0.0086564430966973,0.0084423338994383,0.0080789318308234,0.0080789318308234,0.0080789318308234,0.0062663699500262,0.0062663699500262
16461,16461,16461,16461.0,467.205810546875,437.811279296875,3.1788508097330728,4.689606221516927,0.0014425659179687,3.690469297219145,7.868457031249999,-0.0004140478310413,11.80360984802246,19.761558532714844,20.80823516845703,9.573325157165527,24.928905487060547,32.161376953125,64.00761413574219,45.42511749267578,73.42060852050781,96.56575012207033,0.0026838376652449,0.0026129991747438,0.0026184751186519,0.0032685613259673,0.002944701584056,0.0047713723033666,0.0047713723033666,0.0047713723033666,0.0062663699500262,0.0062663699500262
16462,16462,16462,16462.0,417.205810546875,387.811279296875,1.93301747639974,0.9521062215169273,0.0019425659179687,61.178692669154366,2.885123697916667,-0.007155450733078,80.23741912841797,82.58944702148438,84.78338623046875,72.62165832519531,72.24905395507812,73.13589477539062,96.52273559570312,82.3713607788086,98.8685302734375,96.56575012207033,0.0061139208264648,0.0058900485746562,0.0057968539185822,0.0059625022113323,0.0053397566080093,0.006425152067095,0.006425152067095,0.006425152067095,0.0062663699500262,0.0062663699500262
16463,16463,16463,16463.0,317.205810546875,487.811279296875,4.424684143066406,3.443772888183594,0.0029425659179687,79.95486089770651,7.868457031249999,-0.0098810395244358,103.88574981689452,56.51676177978516,159.1590576171875,216.2630615234375,181.25445556640625,290.3019104003906,192.304428100586,189.0066680908203,149.76437377929688,96.56575012207033,0.009633706882596,0.0100564900785684,0.0121536115184426,0.0113503830507397,0.0122524332255125,0.0097327111288905,0.0097327111288905,0.0097327111288905,0.0062663699500262,0.0062663699500262
16464,16464,16464,16464.0,323.455810546875,394.061279296875,0.2199966430664062,1.419293721516927,0.0010050659179687,1.026935786661734,1.6392903645833332,-2.7286364509946355e-06,47.55866241455078,49.1923713684082,25.59229850769043,52.349403381347656,31.16404914855957,32.571590423583984,64.41452026367188,22.050264358520508,51.15367889404297,96.56575012207033,0.0012164209038019,0.0012090685777366,0.0018463786691427,0.0009113632841035,0.0014294172869995,0.0033243151847273,0.0033243151847273,0.0033243151847273,0.0062663699500262,0.0062663699500262
16465,16465,16465,16465.0,423.455810546875,494.061279296875,2.7116633097330727,3.910960388183594,0.0020050659179687,51.62671252570568,6.622623697916667,-0.0060132824887497,26.266258239746094,46.81857299804688,43.02123641967773,44.305362701416016,46.03643798828125,75.6346664428711,98.15779113769533,87.7570571899414,102.04952239990234,96.56575012207033,0.0059890304692089,0.0060143829323351,0.0060602189041674,0.0062992447055876,0.0056888861581683,0.0066318744793534,0.0066318744793534,0.0066318744793534,0.0062663699500262,0.0062663699500262
16466,16466,16466,16466.0,473.455810546875,344.061279296875,1.4658299763997396,0.1734603881835937,0.0025050659179687,37.97884490756594,1.6392903645833332,-0.0084538523285546,53.80598068237305,74.73516082763672,79.06141662597656,89.68486785888672,118.53047943115234,94.4406967163086,109.68415832519533,136.9818572998047,127.49744415283205,96.56575012207033,0.0088398847728967,0.0087399175390601,0.0081671392545104,0.0089931851252913,0.0088799037039279,0.0082856537774205,0.0082856537774205,0.0082856537774205,0.0062663699500262,0.0062663699500262
16467,16467,16467,16467.0,373.455810546875,444.061279296875,3.9574966430664062,2.6651270548502604,0.0015050659179687,64.43822910705774,6.622623697916667,-0.004849874020704,51.72857284545898,59.40354537963867,52.91069793701172,51.99645614624024,41.28278732299805,54.79139709472656,83.54500579833984,49.44652557373047,76.60160064697266,96.56575012207033,0.0041951308958232,0.0039258701726794,0.0039532990194857,0.0036053038202226,0.0032053908798843,0.004978094715625,0.004978094715625,0.004978094715625,0.0062663699500262,0.0062663699500262
16468,16468,16468,16468.0,398.455810546875,319.061279296875,3.3345799763997395,3.288043721516927,0.0017550659179687,63.777148868785694,6.622623697916667,-0.006457852293626,93.50186920166016,89.774658203125,108.24964904785156,99.66485595703124,95.52136993408205,65.44949340820312,91.309814453125,67.23750305175781,89.3255615234375,96.56575012207033,0.005523782223463,0.0056947437115013,0.0050067589618265,0.0049522742629051,0.0043586981482803,0.0058049848303198,0.0058049848303198,0.0058049848303198,0.0062663699500262,0.0062663699500262
16469,16469,16469,16469.0,498.455810546875,419.061279296875,0.842913309733073,0.7963770548502604,0.0027550659179687,29.125400171443346,1.6392903645833334,-0.0090655542575705,53.85320281982422,47.40093994140625,37.85680770874024,61.94551849365234,87.1922378540039,103.06006622314452,114.58019256591795,165.68710327148438,140.22140502929688,96.56575012207033,0.0095777176320552,0.0094826100394129,0.0092205991968512,0.0103401551023125,0.010740733705461,0.0091125443577766,0.0091125443577766,0.0091125443577766,0.0062663699500262,0.0062663699500262
16470,16470,16470,16470.0,448.455810546875,369.061279296875,4.580413309733073,4.533877054850261,0.0022550659179687,59.01034094036719,9.114290364583333,-0.0085430856849585,95.346923828125,83.2650375366211,86.0916976928711,80.01620483398438,93.04743957519533,85.30194854736328,104.24225616455078,111.0051727294922,114.7734832763672,96.56575012207033,0.0082366047427058,0.0078954948112368,0.0071136793121695,0.0076462146826088,0.0071959546767175,0.0074587641283869,0.0074587641283869,0.0074587641283869,0.0062663699500262,0.0062663699500262
16471,16471,16471,16471.0,348.455810546875,469.061279296875,2.0887466430664063,2.0422103881835936,0.0012550659179687,55.75238491146854,4.13095703125,-0.0034439482868325,38.165645599365234,43.40074157714844,33.035518646240234,41.55900955200195,29.552940368652344,43.764041900634766,74.66602325439453,34.38410949707031,63.87763977050781,96.56575012207033,0.0028753294609487,0.002648398745805,0.0028998388443142,0.0022583336103707,0.0022289638873189,0.0041512050665915,0.0041512050665915,0.0041512050665915,0.0062663699500262,0.0062663699500262
16472,16472,16472,16472.0,335.955810546875,331.561279296875,4.891871643066406,1.1078353881835936,0.0021300659179687,216.6152789977879,5.99970703125,-0.0082369465597657,207.5152282714844,209.41970825195312,211.2382202148437,202.2992706298828,183.28054809570312,135.61306762695312,131.4362335205078,99.0400390625,108.4114990234375,96.56575012207033,0.0079428823664784,0.0076322415843605,0.0076584075577557,0.0069727296940982,0.0064203105866909,0.0070453193038702,0.0070453193038702,0.0070453193038702,0.0062663699500262,0.0062663699500262
16473,16473,16473,16473.0,435.955810546875,431.561279296875,2.40020497639974,3.5995020548502605,0.0011300659179687,0.0335580794761717,5.999707031250001,-1.714733568001435e-08,-3.3019368648529053,18.265426635742188,16.04619026184082,3.503413677215576,18.08255958557129,22.66743469238281,53.73602294921875,27.876117706298828,57.51565933227539,96.56575012207033,0.00096126756398,0.0009743651025928,0.0013016500743106,0.0015848483890295,0.0018070804653689,0.003737760009244,0.003737760009244,0.003737760009244,0.0062663699500262,0.0062663699500262
16474,16474,16474,16474.0,485.955810546875,381.561279296875,3.646038309733073,2.353668721516927,0.0016300659179687,71.953685996634,5.99970703125,-0.0059562511799871,30.29328155517578,22.43805885314941,25.96793937683105,23.37582969665528,38.73561096191406,37.9574089050293,69.53646087646484,58.00094223022461,82.96357727050781,96.56575012207033,0.0037052079569548,0.0034659067168831,0.0034085703082382,0.0042787892743945,0.003759934566915,0.0053915395401418,0.0053915395401418,0.0053915395401418,0.0062663699500262,0.0062663699500262
16475,16475,16475,16475.0,385.955810546875,481.561279296875,1.1543716430664062,4.845335388183594,0.0026300659179687,72.08045199974121,5.999707031250001,-0.0087551804387642,85.53387451171875,94.1455307006836,97.74774169921876,108.9614715576172,100.36382293701172,156.65269470214844,141.2645721435547,150.993408203125,133.8594207763672,96.56575012207033,0.0089390659704804,0.0091485502198338,0.0097653279080986,0.0096666701138019,0.0097882086411118,0.0086990986019372,0.0086990986019372,0.0086990986019372,0.0062663699500262,0.0062663699500262
16476,16476,16476,16476.0,360.955810546875,356.561279296875,1.777288309733073,4.222418721516927,0.0028800659179687,283.5400648680906,5.999707031250001,-0.0110899475438104,264.8243713378906,263.2920837402344,262.83251953125,225.6866912841797,250.9866638183593,214.77145385742188,165.40650939941406,181.0629425048828,146.58338928222656,96.56575012207033,0.0117172738537192,0.0116312969475984,0.0113545171916484,0.0110136410221457,0.0117374779656529,0.0095259891822934,0.0095259891822934,0.0095259891822934,0.0062663699500262,0.0062663699500262
16477,16477,16477,16477.0,460.955810546875,456.561279296875,4.26895497639974,1.7307520548502604,0.0018800659179687,12.595859188193907,5.99970703125,-0.0060697361241595,31.060516357421875,35.15394592285156,34.1429443359375,29.31869125366211,39.99922943115234,56.1186637878418,84.55084991455078,77.15621185302734,95.68753814697266,96.56575012207033,0.0051276506856083,0.0050142593681812,0.004997759591788,0.0056257592514157,0.0050016823224723,0.0062184296548366,0.0062184296548366,0.0062184296548366,0.0062663699500262,0.0062663699500262
16478,16478,16478,16478.0,410.955810546875,306.561279296875,0.5314549763997396,2.9765853881835938,0.0013800659179687,100.34504332014126,3.5080403645833336,-0.0014352932243268,60.17215347290039,49.74486923217773,61.88397216796875,62.84473419189453,60.1446533203125,38.04426193237305,69.61597442626953,41.57424545288086,70.23961639404297,96.56575012207033,0.0019060221966356,0.0031595649197697,0.0028908394742757,0.002931818831712,0.002695067320019,0.0045646498911082,0.0045646498911082,0.0045646498911082,0.0062663699500262,0.0062663699500262
16479,16479,16479,16479.0,310.955810546875,406.561279296875,3.023121643066406,0.4849187215169271,0.0023800659179687,265.5972359349063,3.508040364583333,-0.0086078222095077,238.6320343017578,234.82667541503903,205.009033203125,218.99478149414065,177.64410400390625,197.6334228515625,158.66989135742188,123.6524429321289,121.13545989990234,96.56575012207033,0.0085049355402588,0.0084480149671435,0.0092475973069667,0.0083197001367807,0.0080158188939094,0.0078722089529037,0.0078722089529037,0.0078722089529037,0.0062663699500262,0.0062663699500262
16480,16480,16480,16480.0,307.830810546875,353.436279296875,3.879632059733073,2.120074971516927,0.0018488159179687,213.41239713948968,5.999707031250001,-0.0069871411577442,197.89031982421875,186.9381866455078,174.60031127929688,194.38494873046875,144.7315216064453,121.68665313720705,124.50471496582033,74.61257934570312,94.0970458984375,96.56575012207033,0.0070618651807308,0.0064740837551653,0.0064732651226222,0.0054573882371187,0.004836790729314,0.0061150682158768,0.0061150682158768,0.0061150682158768,0.0062663699500262,0.0062663699500262
16481,16481,16481,16481.0,407.830810546875,453.436279296875,1.3879653930664062,4.611741638183593,0.0028488159179687,110.38928224430263,5.99970703125,-0.010075510343809,124.6869659423828,124.72113800048828,114.7767105102539,114.07425689697266,118.94834899902344,164.60707092285156,144.80667114257812,177.155029296875,144.99288940429688,96.56575012207033,0.0101378057152032,0.0102387247607111,0.0106871053576469,0.0108452690765261,0.011484146118164,0.0094226272776722,0.0094226272776722,0.0094226272776722,0.0062663699500262,0.0062663699500262
16482,16482,16482,16482.0,457.830810546875,303.436279296875,2.63379872639974,0.8742416381835938,0.0023488159179687,46.72406551590091,3.5080403645833336,-0.0080795072338926,61.67436599731445,85.02320098876953,104.4405288696289,110.18407440185548,143.2765655517578,88.79074096679688,106.35261535644533,120.42667388916016,119.5449676513672,96.56575012207033,0.0075276582501828,0.0082021495327353,0.0075087267905473,0.0081513291224837,0.0078067076392471,0.0077688479796051,0.0077688479796051,0.0077688479796051,0.0062663699500262,0.0062663699500262
